Tempo	Canale A
(ms)	(V)

-2.50006383	-0.02502518
-2.49999983	-0.08423109
-2.49993583	-0.01495407
-2.49987183	0.01953185
-2.49980783	0.00488296
-2.49974383	-0.01007111
-2.49967983	-0.03479110
-2.49961583	-0.00518815
-2.49955183	-0.01007111
-2.49948783	-0.01495407
-2.49942383	-0.01983703
-2.49935983	-0.01495407
-2.49929583	-0.01495407
-2.49923183	0.00488296
-2.49916783	-0.01983703
-2.49910383	-0.03967406
-2.49903983	0.00488296
-2.49897583	0.01953185
-2.49891183	-0.01983703
-2.49884783	0.00000000
-2.49878383	-0.02502518
-2.49871983	-0.00518815
-2.49865583	-0.00518815
-2.49859183	-0.01983703
-2.49852783	-0.03967406
-2.49846383	-0.01007111
-2.49839983	-0.00518815
-2.49833583	-0.02990814
-2.49827183	0.00488296
-2.49820783	0.00000000
-2.49814383	0.00976592
-2.49807983	-0.02502518
-2.49801583	-0.01983703
-2.49795183	-0.02990814
-2.49788783	-0.01495407
-2.49782383	-0.01495407
-2.49775983	0.01464888
-2.49769583	-0.03479110
-2.49763183	0.01953185
-2.49756783	0.00000000
-2.49750383	0.00488296
-2.49743983	0.01464888
-2.49737583	-0.01495407
-2.49731183	0.01464888
-2.49724783	0.00000000
-2.49718383	0.00488296
-2.49711983	0.00488296
-2.49705583	-0.02502518
-2.49699183	0.02471999
-2.49692783	0.01464888
-2.49686383	-0.01983703
-2.49679983	-0.00518815
-2.49673583	-0.01983703
-2.49667183	-0.00518815
-2.49660783	0.01953185
-2.49654383	-0.02502518
-2.49647983	-0.01983703
-2.49641583	0.02471999
-2.49635183	0.01953185
-2.49628783	0.03448591
-2.49622383	0.00976592
-2.49615983	-0.04974517
-2.49609583	-0.01983703
-2.49603183	0.00976592
-2.49596783	-0.01495407
-2.49590383	-0.00518815
-2.49583983	-0.02990814
-2.49577583	0.02960295
-2.49571183	0.00000000
-2.49564783	0.00000000
-2.49558383	-0.01495407
-2.49551983	0.01953185
-2.49545583	0.03448591
-2.49539183	-0.02990814
-2.49532783	-0.03479110
-2.49526383	0.01464888
-2.49519983	0.00000000
-2.49513583	0.02471999
-2.49507183	0.00000000
-2.49500783	-0.02990814
-2.49494383	-0.04486221
-2.49487983	-0.01983703
-2.49481583	-0.01007111
-2.49475183	-0.01007111
-2.49468783	0.00976592
-2.49462383	0.00000000
-2.49455983	0.00000000
-2.49449583	-0.01983703
-2.49443183	0.02960295
-2.49436783	-0.01495407
-2.49430383	0.02960295
-2.49423983	-0.03479110
-2.49417583	0.00488296
-2.49411183	0.00000000
-2.49404783	-0.01495407
-2.49398383	0.00000000
-2.49391983	0.00976592
-2.49385583	0.01464888
-2.49379183	0.00000000
-2.49372783	-0.01495407
-2.49366383	0.00488296
-2.49359983	0.02471999
-2.49353583	0.00488296
-2.49347183	0.01464888
-2.49340783	-0.03479110
-2.49334383	0.01953185
-2.49327983	-0.01495407
-2.49321583	0.02960295
-2.49315183	-0.02990814
-2.49308783	0.00000000
-2.49302383	-0.01007111
-2.49295983	0.00000000
-2.49289583	0.00976592
-2.49283183	-0.02502518
