Tempo	Canale A
(ms)	(mV)

-2.50005141	0.00000000
-2.49998741	0.00000000
-2.49992341	0.44251840
-2.49985941	0.00000000
-2.49979541	0.19531850
-2.49973141	0.39368880
-2.49966741	-0.05188146
-2.49960341	0.04882962
-2.49953941	0.24414810
-2.49947541	-0.14954070
-2.49941141	0.14648880
-2.49934741	0.49134800
-2.49928341	0.39368880
-2.49921941	-0.29602950
-2.49915541	-0.10071110
-2.49909141	0.04882962
-2.49902741	0.24414810
-2.49896341	-0.68971830
-2.49889941	0.00000000
-2.49883541	0.00000000
-2.49877141	0.24414810
-2.49870741	-0.19837030
-2.49864341	-0.29602950
-2.49857941	0.00000000
-2.49851541	0.00000000
-2.49845141	-0.19837030
-2.49838741	0.09765923
-2.49832341	0.39368880
-2.49825941	0.14648880
-2.49819541	0.29297770
-2.49813141	0.04882962
-2.49806741	-0.49439980
-2.49800341	-0.19837030
-2.49793941	0.00000000
-2.49787541	-0.10071110
-2.49781141	-0.05188146
-2.49774741	0.29297770
-2.49768341	0.54017760
-2.49761941	-0.24719990
-2.49755541	-0.29602950
-2.49749141	-0.29602950
-2.49742741	0.29297770
-2.49736341	-0.14954070
-2.49729941	0.29297770
-2.49723541	-0.05188146
-2.49717141	-0.64088860
-2.49710741	-0.59205910
-2.49704341	-0.19837030
-2.49697941	-0.10071110
-2.49691541	0.19531850
-2.49685141	0.00000000
-2.49678741	0.04882962
-2.49672341	-0.54322950
-2.49665941	0.19531850
-2.49659541	0.04882962
-2.49653141	-0.29602950
-2.49646741	-0.14954070
-2.49640341	0.09765923
-2.49633941	0.04882962
-2.49627541	-0.14954070
-2.49621141	-0.29602950
-2.49614741	-0.24719990
-2.49608341	-0.34485920
-2.49601941	-0.59205910
-2.49595541	-0.05188146
-2.49589141	-0.05188146
-2.49582741	-0.10071110
-2.49576341	-0.10071110
-2.49569941	-0.14954070
-2.49563541	-0.19837030
-2.49557141	-0.68971830
-2.49550741	-0.19837030
-2.49544341	-0.34485920
-2.49537941	-0.10071110
