Numero segnale      Lunghezza di plasma 
2     0.76604 
4     0.76713 
5     0.76737 
6     0.76732 
7     0.76619 
8     0.76718 
9     0.76642 
10     0.76675 
11     0.76659 
14     0.76722 
15     0.76672 
16     0.76603 
17     0.76729 
18     0.76734 
21     0.76669 
22     0.76637 
24     0.76655 
29     0.76716 
30     0.76672 
31     0.76664 
32     0.76718 
33     0.76662 
34     0.76729 
35     0.76682 
37     0.76678 
39     0.7664 
40     0.76679 
41     0.76675 
43     0.76721 
45     0.76691 
46     0.76735 
47     0.76685 
49     0.76654 
