Coordinata x       Coordinata y     Offset 
-20    8    21.5407 
22    -18    28.4253 
8    -28    29.1204 
15    -18    23.4307 
-26    6    26.6833 
22    -2    22.0907 
-28    2    28.0713 
2    16    16.1245 
1    18    18.0278 
-10    -40    41.2311 
-33    -16    36.6742 
-21    14    25.2389 
24    -12    26.8328 
15    -18    23.4307 
-2    21    21.095 
-7    21    22.1359 
1    22    22.0227 
23    -7    24.0416 
11    13    17.0294 
7    20    21.1896 
24    4    24.3311 
-29    -12    31.3847 
2    -24    24.0832 
10    12    15.6205 
2    15    15.1327 
-30    4    30.2655 
-24    -18    30 
-26    -12    28.6356 
26    -7    26.9258 
17    18    24.7588 
1    -23    23.0217 
5    15    15.8114 
-33    -5    33.3766 
