Coordinata x       Coordinata y     Coordinata z 
579    468    47.3814 
606    548    46.3897 
633    527    32.6497 
635    528    34.7131 
570    467    54.6717 
587    457    51.4782 
646    540    50.9902 
629    466    39.8121 
617    541    39.3192 
592    451    54.7814 
591    541    44.2945 
653    507    41.3038 
656    498    44.1814 
575    460    55.9732 
637    459    49.7393 
630    541    42.9535 
564    496    48.3735 
635    465    43.566 
629    457    48.1041 
642    530    41.0366 
649    481    42.5441 
613    537    35.0143 
640    535    43.2782 
650    475    46.6154 
576    533    47.5079 
579    528    42.0119 
604    549    47.676 
591    527    32.6497 
645    526    40.8044 
563    506    49.163 
565    503    47.0106 
592    454    52 
628    454    50.5964 
560    493    52.7731 
585    527    36.7967 
615    457    45.0999 
579    524    39.6611 
621    454    48.8365 
633    456    50.5668 
622    540    39.2938 
621    447    55.7315 
612    545    43 
565    480    51.8941 
639    532    40.3609 
575    522    42.0595 
650    517    40.8534 
654    493    42.9535 
651    471    49.8197 
642    511    31.3209 
622    543    42.2019 
567    467    57.0088 
642    465    47.634 
613    441    61.0082 
666    503    54.0093 
608    459    43.1856 
633    530    35 
