Coordinata x       Coordinata y     Offset 
-17.7349    12.4239    21.6537 
22.1679    -15.4696    27.0319 
9.1148    -29.6532    31.0225 
16.9302    -20.3494    26.4713 
-23.8889    4.2952    24.2719 
20.4487    -1.2933    20.4896 
-24.6673    -4.5796    25.0888 
10.4833    15.9384    19.077 
5.5826    18.2954    19.1282 
-8.7671    -32.217    33.3885 
-23.726    -18.5379    30.1094 
-18.7752    10.391    21.4589 
17.8385    -18.813    25.9257 
14.3848    -23.1458    27.2516 
2.4024    18.0937    18.2525 
-11.247    19.0182    22.095 
4.5459    21.5603    22.0343 
21.6498    -4.6844    22.1508 
10.8158    15.0974    18.5719 
3.5452    18.2792    18.6198 
22.1833    0.56838    22.1905 
-26.3259    -9.8883    28.1217 
8.3901    -29.8353    30.9926 
9.3228    15.9435    18.4692 
5.9061    16.8409    17.8465 
-26.1839    -3.6794    26.4412 
-25.0736    -15.1521    29.2963 
-23.5055    -15.1625    27.9715 
21.8082    -5.0541    22.3862 
12.6316    12.1926    17.5561 
-3.2207    -28.0578    28.242 
7.407    17.9608    19.4282 
-26.2064    -9.7489    27.9609 
