Nu1       Nu3     Offset 
17200    47500    0.034389 
17200    47600    0.034597 
17200    51500    0.039351 
17300    40700    0.046234 
17300    47600    0.038738 
17300    40700    0.046949 
17300    47600    0.045051 
17300    47600    0.036341 
17300    52000    0.031099 
17100    51400    0.036793 
17200    40400    0.052871 
17200    47600    0.039198 
17300    47600    0.044207 
17300    47700    0.051876 
17400    47500    0.046768 
17200    51500    0.042675 
17000    51300    0.054193 
17400    47700    0.04465 
17100    47700    0.058534 
17200    47400    0.041284 
17300    47400    0.048807 
17300    47800    0.047407 
17200    47600    0.036431 
17300    52000    0.032538 
17300    47600    0.035093 
17200    51800    0.042259 
17300    47700    0.042304 
17300    47600    0.060199 
17200    47700    0.055523 
17400    47600    0.03527 
17500    47700    0.04829 
17300    52100    0.042914 
17400    52300    0.033265 
