Nu1     A1      Nu3     A3 
17398.3019    0.18458     52344.8911    0.00043734      
17448.297    0.19111     52394.8863    0.0004429      
17298.3117    0.15082     52094.9155    0.000376      
17398.3019    0.2001     52244.9009    0.00038552      
17348.3068    0.2184     52144.9107    0.00045067      
17448.297    0.19313     52394.8863    0.00030875      
17048.3361    0.22008     51244.9985    0.00057997      
17598.2824    0.19134     52894.8375    0.00037321      
17548.2873    0.14459     52644.8619    0.00028216      
17448.297    0.20934     52444.8814    0.00036732      
17448.297    0.20543     52444.8814    0.00040074      
17548.2873    0.13726     52694.857    0.00043005      
17448.297    0.19442     52394.8863    0.00054484      
17498.2922    0.20124     52544.8716    0.00033051      
17448.297    0.19292     52394.8863    0.00038351      
17448.297    0.16993     52444.8814    0.00035053      
17498.2922    0.15661     52644.8619    0.00042887      
17598.2824    0.19201     52844.8423    0.00034037      
17548.2873    0.14221     52644.8619    0.00038296      
17448.297    0.18554     52494.8765    0.00041066      
17448.297    0.21003     52444.8814    0.00043331      
17498.2922    0.19478     52594.8667    0.00044393      
17448.297    0.21176     52444.8814    0.00038438      
17598.2824    0.14221     52944.8326    0.00042009      
17598.2824    0.20929     52894.8375    0.00040281      
17598.2824    0.14285     52794.8472    0.00038702      
17298.3117    0.21297     51994.9253    0.00047471      
17398.3019    0.20565     52294.896    0.00043569      
17548.2873    0.20959     52694.857    0.0003482      
17598.2824    0.15964     52844.8423    0.00043811      
17148.3263    0.1616     51594.9643    0.0005387      
17398.3019    0.18745     52294.896    0.00038699      
17148.3263    0.19989     51594.9643    0.00055165      
17498.2922    0.13973     52644.8619    0.00040709      
17298.3117    0.19962     51994.9253    0.00038992      
17498.2922    0.20734     52594.8667    0.00042055      
17498.2922    0.20628     52594.8667    0.00043401      
17148.3263    0.16016     51444.979    0.00050365      
17648.2775    0.15722     52944.8326    0.0003445      
17148.3263    0.21714     51544.9692    0.00052571      
17598.2824    0.20538     52894.8375    0.00040543      
17448.297    0.19701     52394.8863    0.00043461      
17548.2873    0.19385     52694.857    0.00042974      
17498.2922    0.20399     52594.8667    0.00032279      
17398.3019    0.18348     52244.9009    0.000354      
17498.2922    0.17679     52544.8716    0.00057381      
17398.3019    0.2059     52294.896    0.00042929      
17448.297    0.19447     52394.8863    0.00038063      
17598.2824    0.16554     52844.8423    0.0004791      
17398.3019    0.17462     52294.896    0.00041137      
17598.2824    0.19815     52894.8375    0.00040484      
17398.3019    0.21636     52294.896    0.0004713      
17348.3068    0.22046     52144.9107    0.00055801      
17398.3019    0.14962     52394.8863    0.00051467      
17548.2873    0.1901     52694.857    0.00039093      
17448.297    0.17128     52444.8814    0.00037516      
