Nu1       Nu3     Offset 
17798.2629    53494.7789    0.082006 
17898.2531    53894.7399    0.090676 
17898.2531    53794.7496    0.079497 
17898.2531    53794.7496    0.085856 
17898.2531    53894.7399    0.080529 
17798.2629    53394.7887    0.096188 
17998.2434    53994.7301    0.094913 
17898.2531    53694.7594    0.099646 
17898.2531    53894.7399    0.079855 
17798.2629    53494.7789    0.095702 
17898.2531    53794.7496    0.081573 
17898.2531    53594.7692    0.092974 
17698.2726    53194.8082    0.081737 
17998.2434    53994.7301    0.090718 
17898.2531    53994.7301    0.094255 
17898.2531    53694.7594    0.080037 
17998.2434    53994.7301    0.094174 
17798.2629    53394.7887    0.095229 
17798.2629    53494.7789    0.084232 
17798.2629    53594.7692    0.089008 
17698.2726    53294.7984    0.092288 
17798.2629    53594.7692    0.090881 
17798.2629    53594.7692    0.088846 
17998.2434    54094.7204    0.080604 
17898.2531    53694.7594    0.090053 
17798.2629    53594.7692    0.092023 
17798.2629    53594.7692    0.10146 
17798.2629    53594.7692    0.091907 
17898.2531    53794.7496    0.08538 
17698.2726    53094.8179    0.094646 
17998.2434    53994.7301    0.090847 
17898.2531    53694.7594    0.080939 
17898.2531    53694.7594    0.086939 
17998.2434    54094.7204    0.079708 
17998.2434    54194.7106    0.088975 
17998.2434    53994.7301    0.090084 
17898.2531    53894.7399    0.079909 
17998.2434    54094.7204    0.078758 
17998.2434    53994.7301    0.096966 
17898.2531    53794.7496    0.079089 
17898.2531    53694.7594    0.078302 
