Nu1     A1      Nu3     A3 
17350    1784.5292     52050    2.9704      
17250    1653.1602     51900    2.433      
17300    1839.1404     52050    2.2938      
16800    2253.8892     50600    2.3746      
17250    1844.0829     51850    2.2438      
16750    1876.6338     50450    3.6632      
17150    2455.7984     51450    2.0894      
16750    2319.7092     50350    3.9343      
17050    2244.2913     51150    2.536      
16850    2585.1976     50600    2.2256      
17400    1682.5295     52350    2.6959      
17250    2458.3305     51800    1.8286      
17150    1882.8891     51450    3.362      
17200    2094.5599     51700    2.4281      
16850    1998.2349     50550    3.4749      
17250    1985.8813     51800    2.6696      
16700    2775.8888     50150    3.3232      
