Coordinata x       Coordinata y     Offset 
45.1144    -64.5405    78.7451 
75.6588    17.1245    77.5725 
-67.6853    43.0669    80.225 
81.7883    -3.9889    81.8855 
47.2569    66.9591    81.9557 
-79.6457    28.7426    84.6734 
-54.5179    52.7848    75.8844 
-66.9968    36.879    76.4763 
-10.7256    80.5341    81.2451 
30.8122    -74.3955    80.5238 
74.1633    15.4827    75.7622 
77.7305    -16.7444    79.5135 
31.9773    -75.2745    81.7851 
36.5078    69.216    78.2539 
-63.3984    45.9009    78.2704 
70.4555    -43.9715    83.051 
-51.5832    -64.9558    82.9463 
77.2259    18.7014    79.4581 
5.3231    76.4314    76.6165 
