Tempo	Canale A
(ms)	(V)

-5.00003390	-0.00198370
-4.99992990	0.00000000
-4.99982590	0.01419111
-4.99972190	0.01052889
-4.99961790	0.01602222
-4.99951390	0.01480148
-4.99940990	0.00488296
-4.99930590	0.01739555
-4.99920190	-0.00808741
-4.99909790	0.00793481
-4.99899390	0.02166814
-4.99888990	0.01983703
-4.99878590	0.02349925
-4.99868190	0.02044740
-4.99857790	0.00732444
-4.99847390	0.00732444
-4.99836990	-0.00503555
-4.99826590	-0.00198370
-4.99816190	0.01602222
-4.99805790	0.01602222
-4.99795390	0.01922666
-4.99784990	0.03097629
-4.99774590	0.01541185
-4.99764190	0.01174963
-4.99753790	0.00869778
-4.99743390	0.02044740
-4.99732990	0.00732444
-4.99722590	-0.01373333
-4.99712190	0.01297037
-4.99701790	0.00732444
-4.99691390	0.00869778
-4.99680990	-0.00885037
-4.99670590	0.00930815
-4.99660190	-0.00198370
-4.99649790	0.00732444
-4.99639390	0.01739555
-4.99628990	0.01739555
-4.99618590	0.02410962
-4.99608190	0.01663259
-4.99597790	0.00427259
-4.99587390	0.02853481
-4.99576990	0.00930815
-4.99566590	0.02471999
-4.99556190	-0.00320444
-4.99545790	0.02288888
-4.99535390	-0.01434370
-4.99524990	0.01922666
-4.99514590	-0.00686667
-4.99504190	-0.00076296
-4.99493790	0.02731407
-4.99483390	0.00671407
-4.99472990	0.00732444
-4.99462590	0.01174963
-4.99452190	0.00305185
-4.99441790	-0.00946074
-4.99431390	-0.00259407
-4.99420990	0.03479110
-4.99410590	0.00930815
-4.99400190	0.00366222
-4.99389790	-0.00076296
-4.99379390	0.00000000
-4.99368990	-0.00625629
-4.99358590	0.00930815
-4.99348190	0.01602222
-4.99337790	0.01358074
-4.99327390	0.00488296
-4.99316990	-0.00442518
-4.99306590	0.00366222
-4.99296190	-0.01678518
-4.99285790	0.01113926
-4.99275390	-0.00320444
-4.99264990	0.01419111
-4.99254590	0.00488296
-4.99244190	0.03540147
-4.99233790	0.00732444
-4.99223390	0.03219703
-4.99212990	-0.00137333
-4.99202590	-0.00259407
-4.99192190	0.00671407
-4.99181790	0.00305185
-4.99171390	0.00732444
-4.99160990	0.01602222
-4.99150590	-0.00686667
-4.99140190	0.00991852
-4.99129790	0.01602222
-4.99119390	0.03158666
-4.99108990	0.00122074
-4.99098590	0.01174963
-4.99088190	0.00000000
-4.99077790	0.01983703
-4.99067390	0.01297037
-4.99056990	0.00991852
-4.99046590	0.02166814
-4.99036190	0.00061037
-4.99025790	0.01358074
-4.99015390	0.01861629
-4.99004990	0.02349925
-4.98994590	-0.01129185
-4.98984190	-0.00686667
-4.98973790	0.00869778
-4.98963390	0.02105777
-4.98952990	0.01480148
-4.98942590	0.00732444
-4.98932190	0.01174963
-4.98921790	0.02670370
-4.98911390	0.02349925
-4.98900990	0.01541185
-4.98890590	0.02166814
-4.98880190	0.01663259
-4.98869790	0.00793481
-4.98859390	0.01297037
-4.98848990	0.00610370
-4.98838590	0.00610370
-4.98828190	0.00930815
-4.98817790	0.01052889
-4.98807390	0.02044740
