Tempo	Canale A
(ms)	(mV)

-5.00004834	0.20294810
-4.99994434	-0.40284430
-4.99984034	0.39521470
-4.99973634	-0.01373333
-4.99963234	-0.18005920
-4.99952834	-0.12360000
-4.99942434	-0.26093330
-4.99932034	0.07324442
-4.99921634	-0.46388130
-4.99911234	0.05493332
-4.99900834	-0.53865170
-4.99890434	0.16022220
-4.99880034	-0.10528890
-4.99869634	0.07324442
-4.99859234	-0.19226660
-4.99848834	0.19074070
-4.99838434	-0.39063690
-4.99828034	-0.05645924
-4.99817634	-0.02594073
-4.99807234	0.26551100
-4.99796834	-0.33417770
-4.99786434	-0.32807400
-4.99776034	0.37537770
-4.99765634	0.20294810
-4.99755234	-0.19837030
-4.99744834	-0.37690360
-4.99734434	0.40131840
-4.99724034	-0.22278510
-4.99713634	0.11597030
-4.99703234	-0.34638510
-4.99692834	0.10986660
-4.99682434	-0.48219240
-4.99672034	0.28992580
-4.99661634	-0.04425184
-4.99651234	0.48677020
-4.99640834	0.01220740
-4.99630434	-0.08087405
-4.99620034	-0.01373333
-4.99609634	-0.02594073
-4.99599234	-0.10528890
-4.99588834	-0.44557020
-4.99578434	0.40131840
-4.99568034	0.20905180
-4.99557634	0.18463700
-4.99547234	-0.01983703
-4.99536834	0.38911100
-4.99526434	0.07934812
-4.99516034	-0.27924440
-4.99505634	-0.24719990
-4.99495234	0.05493332
-4.99484834	-0.01373333
-4.99474434	-0.02594073
-4.99464034	-0.25330360
-4.99453634	-0.24109620
-4.99443234	-0.08697775
-4.99432834	-0.22278510
-4.99422434	0.57374800
-4.99412034	-0.00762963
-4.99401634	0.46235540
-4.99391234	-0.22278510
-4.99380834	-0.23499250
-4.99370434	-0.01373333
-4.99360034	0.20905180
-4.99349634	-0.24719990
-4.99339234	-0.03814813
-4.99328834	0.16022220
-4.99318434	0.15411850
-4.99308034	-0.25330360
-4.99297634	-0.31586660
-4.99287234	0.29602950
-4.99276834	-0.35248880
-4.99266434	-0.35859250
-4.99256034	0.40131840
-4.99245634	0.06714072
