*Clock	1MHz							
*Name	ENDC	ENDP	ZERO	CH4	CCD	FD	SW	OSC
*Channels	1	2	3	4	5	6	7	8
*Amplitude	100	100	100	100	100	100	100	100
* 1 s
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
* 2 s
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
* 3 s
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
* 4 s
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
* 5 s
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
30000	-100	-100	0	0	0	0	3	0
10000	-100	-100	0	0	0	0	3	0
