Tempo	Canale A 
(ms)	(V) 
 
-5.00006247	-0.00225837 
-4.99995847	0.00097659 
-4.99985447	0.00244148 
-4.99975047	-0.00372326 
-4.99964647	0.00048830 
-4.99954247	0.00292978 
-4.99943847	-0.00103763 
-4.99933447	-0.00299081 
-4.99923047	-0.00347911 
-4.99912647	0.00292978 
-4.99902247	-0.00323496 
-4.99891847	0.00616474 
-4.99881447	-0.00128178 
-4.99871047	-0.00128178 
-4.99860647	0.00665304 
-4.99850247	0.00024415 
-4.99839847	-0.00549333 
-4.99829447	0.00024415 
-4.99819047	0.00073244 
-4.99808647	0.00097659 
-4.99798247	0.00244148 
-4.99787847	0.00048830 
-4.99777447	-0.00054933 
-4.99767047	0.00341807 
-4.99756647	0.00292978 
-4.99746247	0.00665304 
-4.99735847	-0.00128178 
-4.99725447	-0.00250252 
-4.99715047	-0.00451674 
-4.99704647	-0.00030519 
-4.99694247	0.00000000 
-4.99683847	-0.00323496 
-4.99673447	-0.00128178 
-4.99663047	0.00170904 
-4.99652647	-0.00177007 
-4.99642247	0.00292978 
-4.99631847	0.00341807 
-4.99621447	0.00317393 
-4.99611047	-0.00054933 
-4.99600647	0.00146489 
-4.99590247	0.00219733 
-4.99579847	0.00097659 
-4.99569447	0.00268563 
-4.99559047	0.00366222 
-4.99548647	0.00421155 
-4.99538247	0.00268563 
-4.99527847	0.00097659 
-4.99517447	0.00219733 
-4.99507047	-0.00299081 
-4.99496647	-0.00128178 
-4.99486247	0.00097659 
-4.99475847	-0.00225837 
-4.99465447	-0.00177007 
-4.99455047	0.00445570 
-4.99444647	-0.00347911 
-4.99434247	-0.00030519 
-4.99423847	-0.00299081 
-4.99413447	-0.00128178 
-4.99403047	0.00219733 
-4.99392647	-0.00128178 
-4.99382247	0.00048830 
-4.99371847	0.00421155 
-4.99361447	-0.00128178 
-4.99351047	-0.00152593 
-4.99340647	0.00195319 
-4.99330247	0.01165807 
-4.99319847	0.00048830 
-4.99309447	0.00219733 
-4.99299047	-0.00250252 
-4.99288647	0.00268563 
-4.99278247	-0.00152593 
-4.99267847	0.00494400 
-4.99257447	0.00244148 
-4.99247047	-0.00225837 
-4.99236647	0.00469985 
-4.99226247	-0.00225837 
-4.99215847	0.00000000 
-4.99205447	-0.00323496 
-4.99195047	0.00024415 
-4.99184647	0.00292978 
-4.99174247	0.00170904 
-4.99163847	0.00445570 
-4.99153447	0.00024415 
-4.99143047	0.00396741 
-4.99132647	-0.00030519 
-4.99122247	-0.00323496 
-4.99111847	-0.00225837 
-4.99101447	0.00170904 
-4.99091047	-0.00299081 
-4.99080647	0.00317393 
-4.99070247	0.00891141 
-4.99059847	-0.00427259 
-4.99049447	-0.00299081 
-4.99039047	-0.00201422 
-4.99028647	0.00000000 
-4.99018247	-0.00030519 
-4.99007847	0.00317393 
-4.98997447	0.00469985 
-4.98987047	-0.00274667 
-4.98976647	0.00518815 
-4.98966247	0.00445570 
-4.98955847	-0.00128178 
-4.98945447	0.00073244 
-4.98935047	-0.00054933 
-4.98924647	0.00000000 
-4.98914247	0.00567644 
