Tempo (us) 	 Tensione (mv)


-50.014251	0.071400
-50.006251	0.022600
-49.998251	-0.148300
-49.990251	-0.099500
-49.982251	-0.868600
-49.974251	-0.001800
-49.966251	-0.618300
-49.958251	-0.221600
-49.950251	-0.148300
-49.942251	-0.123900
-49.934251	0.224000
-49.926251	-0.770900
-49.918251	0.547500
-49.910251	-0.520600
-49.902251	-0.221600
-49.894251	0.047000
-49.886251	-0.270400
-49.878251	0.370500
-49.870251	0.071400
-49.862251	-0.172700
-49.854251	0.047000
-49.846251	0.419300
-49.838251	-0.221600
-49.830251	-0.496200
-49.822251	-0.471800
-49.814251	0.126300
-49.806251	-0.270400
-49.798251	-0.545100
-49.790251	0.669600
-49.782251	-0.966200
-49.774251	-0.172700
-49.766251	-0.349700
-49.758251	-0.471800
-49.750251	-0.294800
-49.742251	-0.050700
-49.734251	0.443700
-49.726251	0.321700
-49.718251	-0.197100
-49.710251	-0.520600
-49.702251	0.022600
-49.694251	-0.893000
-49.686251	-0.374200
-49.678251	0.321700
-49.670251	-0.270400
-49.662251	-0.374200
-49.654251	0.175200
-49.646251	0.547500
-49.638251	0.517000
-49.630251	-0.618300
-49.622251	-0.099500
-49.614251	0.022600
-49.606251	-0.172700
-49.598251	0.443700
-49.590251	0.346100
-49.582251	-0.819700
-49.574251	-0.197100
-49.566251	-0.349700
-49.558251	-0.819700
-49.550251	-0.667100
-49.542251	0.248400
-49.534251	-0.075100
-49.526251	0.047000
-49.518251	-0.099500
-49.510251	-0.026200
-49.502251	-0.148300
-49.494251	0.297200
-49.486251	-0.099500
-49.478251	-0.569500
-49.470251	-1.460600
-49.462251	-0.246000
-49.454251	-0.075100
-49.446251	-0.398600
-49.438251	0.047000
-49.430251	-0.099500
-49.422251	-0.246000
-49.414251	-0.099500
-49.406251	-0.545100
-49.398251	-0.172700
-49.390251	-0.099500
-49.382251	0.321700
-49.374251	-0.221600
-49.366251	-0.349700
-49.358251	-0.001800
-49.350251	0.224000
-49.342251	-0.618300
-49.334251	0.645200
-49.326251	-0.148300
-49.318251	0.199600
-49.310251	-0.398600
-49.302251	-0.099500
-49.294251	-0.294800
-49.286251	-0.075100
-49.278251	-0.569500
-49.270251	-0.270400
-49.262251	-0.917400
-49.254251	-0.197100
-49.246251	0.071400
-49.238251	-0.270400
-49.230251	0.468100
-49.222251	-0.349700
-49.214251	0.095800
-49.206251	0.022600
-49.198251	-0.172700
-49.190251	-0.123900
-49.182251	-0.398600
-49.174251	0.126300
-49.166251	-0.917400
-49.158251	-0.075100
-49.150251	-0.374200
-49.142251	0.694000
-49.134251	-0.423000
-49.126251	-0.075100
-49.118251	-0.246000
-49.110251	-0.246000
-49.102251	-0.349700
-49.094251	-0.545100
-49.086251	-0.691600
-49.078251	0.095800
-49.070251	0.321700
-49.062251	-0.618300
-49.054251	0.419300
-49.046251	-0.496200
-49.038251	-0.618300
-49.030251	-0.246000
-49.022251	-0.667100
-49.014251	0.321700
-49.006251	0.394900
-48.998251	-0.520600
-48.990251	0.718400
-48.982251	0.095800
-48.974251	-0.569500
-48.966251	-0.050700
-48.958251	-0.520600
-48.950251	0.468100
-48.942251	-0.471800
-48.934251	-0.319200
