Tempo	Canale A 
(us)	(mV) 
 
-50.01208023	179.57700000 
-50.00408023	179.30840000 
-49.99608023	179.97380000 
-49.98808023	179.57700000 
-49.98008023	180.09580000 
-49.97208023	180.07140000 
-49.96408023	179.65030000 
-49.95608023	179.82730000 
-49.94808023	180.29720000 
-49.94008023	180.24840000 
-49.93208023	180.02260000 
-49.92408023	179.97380000 
-49.91608023	179.80290000 
-49.90808023	179.97380000 
-49.90008023	179.47940000 
-49.89208023	179.65030000 
-49.88408023	179.97380000 
-49.87608023	179.72960000 
-49.86808023	179.47940000 
-49.86008023	179.38170000 
-49.85208023	179.60140000 
-49.84408023	180.32170000 
-49.83608023	179.47940000 
-49.82808023	179.75400000 
-49.82008023	179.82730000 
-49.81208023	179.87610000 
-49.80408023	179.92490000 
-49.79608023	180.02260000 
-49.78808023	179.57700000 
-49.78008023	179.57700000 
-49.77208023	179.15590000 
-49.76408023	180.41930000 
-49.75608023	180.32170000 
-49.74808024	179.72960000 
-49.74008024	180.32170000 
-49.73208024	179.62580000 
-49.72408024	180.12630000 
-49.71608024	180.12630000 
-49.70808024	179.99820000 
-49.70008024	179.40610000 
-49.69208024	180.29720000 
-49.68408024	179.90050000 
-49.67608024	179.87610000 
-49.66808024	179.75400000 
-49.66008024	179.40610000 
-49.65208024	180.24840000 
-49.64408024	179.87610000 
-49.63608024	180.29720000 
-49.62808024	179.72960000 
-49.62008024	179.60140000 
-49.61208024	180.69400000 
-49.60408024	180.39490000 
-49.59608024	179.92490000 
-49.58808024	179.72960000 
-49.58008024	179.62580000 
-49.57208024	179.55260000 
-49.56408024	179.30840000 
-49.55608024	179.77840000 
-49.54808024	179.77840000 
-49.54008024	178.83850000 
-49.53208024	180.17520000 
-49.52408024	180.76720000 
-49.51608024	179.50380000 
-49.50808024	179.70520000 
-49.50008024	179.75400000 
-49.49208024	179.50380000 
-49.48408024	180.49260000 
-49.47608024	179.80290000 
-49.46808024	179.30840000 
-49.46008024	179.90050000 
-49.45208024	179.50380000 
-49.44408024	180.64520000 
-49.43608024	179.75400000 
-49.42808024	179.50380000 
-49.42008024	180.29720000 
-49.41208024	180.07140000 
-49.40408024	179.47940000 
-49.39608025	180.04700000 
-49.38808025	179.77840000 
-49.38008025	181.01750000 
-49.37208025	179.70520000 
-49.36408025	179.87610000 
-49.35608025	179.82730000 
-49.34808025	179.97380000 
-49.34008025	179.60140000 
-49.33208025	179.45490000 
-49.32408025	179.38170000 
-49.31608025	179.77840000 
-49.30808025	179.62580000 
-49.30008025	179.00940000 
-49.29208025	180.02260000 
-49.28408025	179.92490000 
-49.27608025	179.75400000 
-49.26808025	179.47940000 
-49.26008025	180.15080000 
-49.25208025	179.87610000 
-49.24408025	179.55260000 
-49.23608025	179.94930000 
-49.22808025	180.22400000 
-49.22008025	180.37050000 
-49.21208025	180.12630000 
-49.20408025	178.98490000 
-49.19608025	180.12630000 
-49.18808025	180.39490000 
-49.18008025	180.27280000 
-49.17208025	180.19960000 
-49.16408025	178.83850000 
-49.15608025	179.97380000 
-49.14808025	181.90860000 
-49.14008025	179.43050000 
-49.13208025	180.29720000 
-49.12408025	179.80290000 
-49.11608025	179.62580000 
-49.10808025	179.94930000 
-49.10008025	180.07140000 
-49.09208025	180.79170000 
-49.08408025	180.37050000 
-49.07608025	179.45490000 
-49.06808025	180.22400000 
-49.06008025	180.34610000 
-49.05208025	180.22400000 
-49.04408026	179.70520000 
-49.03608026	179.82730000 
-49.02808026	180.41930000 
-49.02008026	179.13140000 
-49.01208026	179.92490000 
-49.00408026	179.70520000 
-48.99608026	179.60140000 
-48.98808026	179.00940000 
-48.98008026	180.51700000 
-48.97208026	180.12630000 
-48.96408026	179.77840000 
-48.95608026	179.47940000 
-48.94808026	180.12630000 
-48.94008026	179.87610000 
-48.93208026	180.34610000 
-48.92408026	180.24840000 
-48.91608026	180.04700000 
-48.90808026	179.70520000 
-48.90008026	179.45490000 
-48.89208026	180.34610000 
-48.88408026	179.94930000 
-48.87608026	179.62580000 
-48.86808026	179.68080000 
-48.86008026	179.75400000 
-48.85208026	179.47940000 
-48.84408026	180.29720000 
-48.83608026	179.62580000 
-48.82808026	179.92490000 
-48.82008026	179.60140000 
-48.81208026	179.75400000 
-48.80408026	180.09580000 
-48.79608026	179.82730000 
-48.78808026	179.97380000 
-48.78008026	180.02260000 
-48.77208026	179.57700000 
-48.76408026	179.94930000 
-48.75608026	180.24840000 
-48.74808026	179.72960000 
-48.74008026	179.92490000 
-48.73208026	179.90050000 
-48.72408026	179.62580000 
-48.71608026	179.87610000 
-48.70808026	179.47940000 
-48.70008026	179.82730000 
-48.69208027	180.74280000 
-48.68408027	179.13140000 
-48.67608027	179.82730000 
-48.66808027	179.75400000 
-48.66008027	179.85170000 
-48.65208027	179.77840000 
-48.64408027	180.15080000 
-48.63608027	179.99820000 
-48.62808027	179.85170000 
-48.62008027	180.09580000 
-48.61208027	179.30840000 
-48.60408027	179.90050000 
-48.59608027	179.43050000 
-48.58808027	180.22400000 
-48.58008027	179.52820000 
-48.57208027	179.99820000 
-48.56408027	180.41930000 
-48.55608027	179.75400000 
-48.54808027	179.87610000 
-48.54008027	180.02260000 
-48.53208027	179.85170000 
-48.52408027	180.49260000 
-48.51608027	179.13140000 
-48.50808027	179.65030000 
-48.50008027	180.12630000 
-48.49208027	179.90050000 
-48.48408027	180.12630000 
-48.47608027	180.37050000 
-48.46808027	179.72960000 
-48.46008027	180.04700000 
-48.45208027	180.37050000 
-48.44408027	179.87610000 
-48.43608027	179.50380000 
-48.42808027	180.04700000 
-48.42008027	180.27280000 
-48.41208027	178.61260000 
-48.40408027	179.97380000 
-48.39608027	179.90050000 
-48.38808027	180.84050000 
-48.38008027	179.70520000 
-48.37208027	179.90050000 
-48.36408027	180.29720000 
-48.35608027	179.77840000 
-48.34808027	179.70520000 
-48.34008027	179.57700000 
-48.33208028	179.65030000 
-48.32408028	179.18030000 
-48.31608028	180.51700000 
-48.30808028	179.77840000 
-48.30008028	180.29720000 
-48.29208028	179.85170000 
-48.28408028	179.97380000 
-48.27608028	179.60140000 
-48.26808028	180.07140000 
-48.26008028	179.94930000 
-48.25208028	180.02260000 
-48.24408028	179.50380000 
-48.23608028	179.90050000 
-48.22808028	180.27280000 
-48.22008028	180.02260000 
-48.21208028	180.09580000 
-48.20408028	179.68080000 
-48.19608028	180.04700000 
-48.18808028	180.07140000 
-48.18008028	180.19960000 
-48.17208028	180.04700000 
-48.16408028	179.82730000 
-48.15608028	180.02260000 
-48.14808028	180.29720000 
-48.14008028	179.55260000 
-48.13208028	180.09580000 
-48.12408028	180.15080000 
-48.11608028	179.77840000 
-48.10808028	179.52820000 
-48.10008028	180.02260000 
-48.09208028	180.15080000 
-48.08408028	179.45490000 
-48.07608028	180.32170000 
-48.06808028	179.92490000 
-48.06008028	179.82730000 
-48.05208028	179.38170000 
-48.04408028	179.60140000 
-48.03608028	180.02260000 
-48.02808028	179.70520000 
-48.02008028	179.85170000 
-48.01208028	180.29720000 
-48.00408028	179.65030000 
-47.99608028	180.51700000 
-47.98808028	180.54750000 
-47.98008029	179.28400000 
-47.97208029	179.94930000 
-47.96408029	179.99820000 
-47.95608029	179.65030000 
-47.94808029	179.68080000 
-47.94008029	180.17520000 
-47.93208029	179.52820000 
-47.92408029	179.25960000 
-47.91608029	179.97380000 
-47.90808029	179.62580000 
-47.90008029	179.80290000 
-47.89208029	179.72960000 
-47.88408029	179.72960000 
-47.87608029	180.64520000 
-47.86808029	180.22400000 
-47.86008029	179.47940000 
-47.85208029	179.15590000 
-47.84408029	179.92490000 
-47.83608029	179.87610000 
-47.82808029	179.55260000 
-47.82008029	179.90050000 
-47.81208029	179.97380000 
-47.80408029	179.85170000 
-47.79608029	179.99820000 
-47.78808029	180.99310000 
-47.78008029	180.02260000 
-47.77208029	179.43050000 
-47.76408029	179.80290000 
-47.75608029	179.80290000 
-47.74808029	180.71840000 
-47.74008029	179.70520000 
-47.73208029	180.32170000 
-47.72408029	180.12630000 
-47.71608029	180.09580000 
-47.70808029	179.97380000 
-47.70008029	179.68080000 
-47.69208029	179.90050000 
-47.68408029	180.22400000 
-47.67608029	179.90050000 
-47.66808029	180.09580000 
-47.66008029	180.12630000 
-47.65208029	179.20470000 
-47.64408029	179.40610000 
-47.63608029	179.52820000 
-47.62808030	180.15080000 
-47.62008030	180.62070000 
-47.61208030	179.70520000 
-47.60408030	180.02260000 
-47.59608030	179.97380000 
-47.58808030	179.94930000 
-47.58008030	179.55260000 
-47.57208030	179.97380000 
-47.56408030	180.15080000 
-47.55608030	179.72960000 
-47.54808030	179.92490000 
-47.54008030	179.52820000 
-47.53208030	180.29720000 
-47.52408030	179.62580000 
-47.51608030	179.92490000 
-47.50808030	180.07140000 
-47.50008030	179.85170000 
-47.49208030	179.28400000 
-47.48408030	179.85170000 
-47.47608030	180.12630000 
-47.46808030	179.30840000 
-47.46008030	179.62580000 
-47.45208030	179.72960000 
-47.44408030	179.75400000 
-47.43608030	180.34610000 
-47.42808030	179.05820000 
-47.42008030	180.29720000 
-47.41208030	179.82730000 
-47.40408030	179.43050000 
-47.39608030	180.07140000 
-47.38808030	179.94930000 
-47.38008030	179.57700000 
-47.37208030	180.32170000 
-47.36408030	179.52820000 
-47.35608030	180.27280000 
-47.34808030	179.45490000 
-47.34008030	179.92490000 
-47.33208030	179.70520000 
-47.32408030	179.99820000 
-47.31608030	179.75400000 
-47.30808030	179.50380000 
-47.30008030	180.02260000 
-47.29208030	180.44370000 
-47.28408030	179.90050000 
-47.27608031	179.87610000 
-47.26808031	179.62580000 
-47.26008031	180.44370000 
-47.25208031	179.94930000 
-47.24408031	179.85170000 
-47.23608031	179.57700000 
-47.22808031	179.82730000 
-47.22008031	179.85170000 
-47.21208031	179.85170000 
-47.20408031	179.92490000 
-47.19608031	179.99820000 
-47.18808031	180.04700000 
-47.18008031	179.70520000 
-47.17208031	179.80290000 
-47.16408031	179.90050000 
-47.15608031	180.29720000 
-47.14808031	180.04700000 
-47.14008031	179.47940000 
-47.13208031	179.75400000 
-47.12408031	179.82730000 
-47.11608031	179.92490000 
-47.10808031	179.75400000 
-47.10008031	180.19960000 
-47.09208031	179.97380000 
-47.08408031	180.22400000 
-47.07608031	179.99820000 
-47.06808031	179.80290000 
-47.06008031	180.62070000 
-47.05208031	180.46810000 
-47.04408031	179.72960000 
-47.03608031	179.15590000 
-47.02808031	179.40610000 
-47.02008031	180.24840000 
-47.01208031	179.72960000 
-47.00408031	179.68080000 
-46.99608031	179.43050000 
-46.98808031	179.57700000 
-46.98008031	179.72960000 
-46.97208031	180.57190000 
-46.96408031	180.29720000 
-46.95608031	180.19960000 
-46.94808031	179.80290000 
-46.94008031	180.02260000 
-46.93208031	180.19960000 
-46.92408032	179.30840000 
-46.91608032	180.19960000 
-46.90808032	180.19960000 
-46.90008032	179.82730000 
-46.89208032	179.35730000 
-46.88408032	179.52820000 
-46.87608032	180.07140000 
-46.86808032	179.94930000 
-46.86008032	179.92490000 
-46.85208032	179.77840000 
-46.84408032	179.57700000 
-46.83608032	180.15080000 
-46.82808032	179.92490000 
-46.82008032	179.50380000 
-46.81208032	179.57700000 
-46.80408032	179.40610000 
-46.79608032	179.55260000 
-46.78808032	180.07140000 
-46.78008032	180.79170000 
-46.77208032	180.24840000 
-46.76408032	179.72960000 
-46.75608032	180.54750000 
-46.74808032	180.09580000 
-46.74008032	179.60140000 
-46.73208032	179.50380000 
-46.72408032	179.35730000 
-46.71608032	180.04700000 
-46.70808032	179.62580000 
-46.70008032	179.52820000 
-46.69208032	180.12630000 
-46.68408032	179.52820000 
-46.67608032	179.92490000 
-46.66808032	179.75400000 
-46.66008032	180.24840000 
-46.65208032	179.68080000 
-46.64408032	179.40610000 
-46.63608032	180.49260000 
-46.62808032	179.99820000 
-46.62008032	179.38170000 
-46.61208032	180.22400000 
-46.60408032	180.34610000 
-46.59608032	180.02260000 
-46.58808032	179.99820000 
-46.58008032	179.50380000 
-46.57208032	179.92490000 
-46.56408033	179.60140000 
-46.55608033	179.33290000 
-46.54808033	180.27280000 
-46.54008033	179.47940000 
-46.53208033	180.07140000 
-46.52408033	180.04700000 
-46.51608033	180.34610000 
-46.50808033	180.24840000 
-46.50008033	180.62070000 
-46.49208033	177.94120000 
-46.48408033	180.09580000 
-46.47608033	179.40610000 
-46.46808033	179.77840000 
-46.46008033	180.19960000 
-46.45208033	179.47940000 
-46.44408033	180.17520000 
-46.43608033	180.76720000 
-46.42808033	180.29720000 
-46.42008033	180.74280000 
-46.41208033	179.15590000 
-46.40408033	180.29720000 
-46.39608033	180.69400000 
-46.38808033	179.45490000 
-46.38008033	180.09580000 
-46.37208033	179.55260000 
-46.36408033	179.65030000 
-46.35608033	179.72960000 
-46.34808033	179.55260000 
-46.34008033	180.29720000 
-46.33208033	180.46810000 
-46.32408033	179.40610000 
-46.31608033	180.29720000 
-46.30808033	179.50380000 
-46.30008033	179.97380000 
-46.29208033	179.92490000 
-46.28408033	179.35730000 
-46.27608033	179.94930000 
-46.26808033	180.12630000 
