Tempo (us) 	 Tensione (mv)


-50.009199	-0.105289
-50.001199	-0.272225
-49.993199	0.098880
-49.985199	-0.303049
-49.977199	0.216071
-49.969199	-0.191656
-49.961199	0.080264
-49.953199	0.000000
-49.945199	0.012207
-49.937199	0.240791
-49.929199	-0.012513
-49.921199	0.055544
-49.913199	0.061647
-49.905199	-0.469985
-49.897199	0.006104
-49.889199	0.024720
-49.881199	0.135807
-49.873199	-0.012513
-49.865199	-0.265816
-49.857199	0.160527
-49.849199	0.086367
-49.841199	-0.358592
-49.833199	-0.667745
-49.825199	-0.160832
-49.817199	0.228584
-49.809199	0.494400
-49.801199	-0.599689
-49.793199	-0.265816
-49.785199	0.259407
-49.777199	0.160527
-49.769199	-0.006409
-49.761199	-0.037233
-49.753199	0.000000
-49.745199	-0.130009
-49.737199	0.012207
-49.729199	-0.290536
-49.721199	0.086367
-49.713199	-0.204169
-49.705199	-0.166936
-49.697199	-0.061953
-49.689199	-0.061953
-49.681199	-0.055849
-49.673199	-0.364696
-49.665199	-0.204169
-49.657199	0.222480
-49.649199	-0.130009
-49.641199	-0.414136
-49.633199	0.055544
-49.625199	-0.253609
-49.617199	-0.234992
-49.609199	-0.315256
-49.601199	-0.130009
-49.593199	0.086367
-49.585199	0.290231
-49.577199	-0.210273
-49.569199	-0.228889
-49.561199	0.018311
-49.553199	-0.025025
-49.545199	0.308847
-49.537199	-0.031129
-49.529199	0.049440
-49.521199	-0.265816
-49.513199	0.271920
-49.505199	0.197760
-49.497199	-0.333873
-49.489199	-0.371105
-49.481199	0.111087
-49.473199	0.111087
-49.465199	0.012207
-49.457199	-0.142216
-49.449199	-0.272225
-49.441199	0.080264
-49.433199	-0.117496
-49.425199	-0.031129
-49.417199	-0.166936
-49.409199	-0.136112
-49.401199	-0.136112
-49.393199	0.148320
-49.385199	-0.025025
-49.377199	0.123600
-49.369199	0.036927
-49.361199	0.006104
-49.353199	-0.080569
-49.345199	0.080264
-49.337199	-0.148625
-49.329199	-0.494705
-49.321199	-0.117496
-49.313199	0.185247
-49.305199	-0.339976
-49.297199	-0.130009
-49.289199	0.104984
-49.281199	-0.711081
-49.273199	-0.371105
-49.265199	0.512711
-49.257199	-0.222785
-49.249199	0.080264
-49.241199	0.314951
-49.233199	-0.111393
-49.225199	-0.389416
-49.217199	0.098880
-49.209199	-0.173345
-49.201199	-0.457472
-49.193199	0.086367
-49.185199	0.135807
-49.177199	-0.228889
-49.169199	-0.216376
-49.161199	0.389111
-49.153199	-0.185553
-49.145199	0.049440
-49.137199	0.426344
-49.129199	0.191351
-49.121199	0.067751
-49.113199	0.006104
-49.105199	0.092471
-49.097199	0.012207
-49.089199	-0.389416
-49.081199	0.080264
-49.073199	0.173040
-49.065199	-0.426649
-49.057199	-0.185553
-49.049199	-0.346385
-49.041199	0.117191
-49.033199	0.104984
-49.025199	0.117191
-49.017199	-0.550249
-49.009199	0.043031
-49.001199	0.092471
-48.993199	0.321360
-48.985199	-0.383313
-48.977199	-0.018616
-48.969199	0.135807
-48.961199	-0.303049
-48.953199	-0.574969
-48.945199	-0.339976
-48.937199	-1.291848
-48.929199	0.055544
-48.921199	0.636616
-48.913199	0.036927
