Tempo	Canale A 
(us)	(mV) 
 
-50.01328713	-0.85329750 
-50.00528713	-0.69246490 
-49.99728713	0.74190490 
-49.98928713	0.09887997 
-49.98128713	-0.18555250 
-49.97328713	-0.51942500 
-49.96528714	0.64271970 
-49.95728714	-0.84109010 
-49.94928714	-0.43916130 
-49.94128714	0.09247108 
-49.93328714	-0.40833760 
-49.92528714	-1.06967400 
-49.91728714	-0.19806510 
-49.90928714	0.53773610 
-49.90128714	-0.37720880 
-49.89328714	0.11719110 
-49.88528714	-0.30915250 
-49.87728714	0.48219240 
-49.86928714	-0.19196140 
-49.86128714	-0.43916130 
-49.85328714	-0.30304880 
-49.84528714	0.14831990 
-49.83728714	0.34607990 
-49.82928714	-0.54414500 
-49.82128714	-0.25360880 
-49.81328714	0.36469620 
-49.80528714	-0.08056886 
-49.79728714	-0.07446516 
-49.78928714	0.16663100 
-49.78128714	-0.08667256 
-49.77328714	-0.26612140 
-49.76528714	-0.34028140 
-49.75728714	0.11719110 
-49.74928714	0.20386360 
-49.74128714	-0.40833760 
-49.73328714	-0.22278510 
-49.72528714	0.12970370 
-49.71728714	-0.06195257 
-49.70928714	-0.06805627 
-49.70128714	-0.42664870 
-49.69328714	0.07415997 
-49.68528714	0.31525620 
-49.67728714	-0.63692130 
-49.66928714	0.33997620 
-49.66128714	-0.22888880 
-49.65328714	-0.38361760 
-49.64528714	0.32746360 
-49.63728714	-0.14862510 
-49.62928714	0.05554369 
-49.62128714	-0.24750510 
-49.61328715	-0.19196140 
-49.60528715	0.37079990 
-49.59728715	-0.43916130 
-49.58928715	-0.44526500 
-49.58128715	0.09247108 
-49.57328715	-0.13000880 
-49.56528715	0.32135990 
-49.55728715	-0.23499250 
-49.54928715	-0.45136870 
-49.54128715	0.16052730 
-49.53328715	0.07415997 
-49.52528715	-0.27222510 
-49.51728715	-0.03112888 
-49.50928715	-0.34638510 
-49.50128715	0.11108740 
-49.49328715	-0.13000880 
-49.48528715	-0.29084140 
-49.47728715	0.24719990 
-49.46928715	-0.53193760 
-49.46128715	0.05554369 
-49.45328715	0.23468730 
-49.44528715	-0.34028140 
-49.43728715	-0.00640889 
-49.42928715	-0.40192870 
-49.42128715	-0.00640889 
-49.41328715	-0.51942500 
-49.40528715	0.30274360 
-49.39728715	-0.10528890 
-49.38928715	-0.14862510 
-49.38128715	-0.23499250 
-49.37328715	-0.06195257 
-49.36528715	0.25940730 
-49.35728715	-0.20416880 
-49.34928715	0.16052730 
-49.34128715	-0.16693620 
-49.33328715	-0.39582510 
-49.32528715	0.09247108 
-49.31728715	-0.21668140 
-49.30928715	-0.13611250 
-49.30128715	0.12970370 
-49.29328715	0.01220740 
-49.28528715	-0.25360880 
-49.27728715	-0.29084140 
-49.26928715	0.22247990 
-49.26128715	-0.09918515 
-49.25328716	-0.46998500 
-49.24528716	-0.36500140 
-49.23728716	0.04943999 
-49.22928716	-0.00640889 
-49.22128716	-0.06195257 
-49.21328716	-0.32776880 
-49.20528716	-0.16693620 
-49.19728716	-0.16693620 
-49.18928716	-0.19196140 
-49.18128716	0.08636738 
-49.17328716	-0.26612140 
-49.16528716	0.04943999 
-49.15728716	0.04943999 
-49.14928716	0.08026367 
-49.14128716	-0.46388130 
-49.13328716	-0.47608870 
-49.12528716	-0.45136870 
-49.11728716	0.13580740 
-49.10928716	0.21637620 
-49.10128716	-0.42664870 
-49.09328716	-0.38972130 
-49.08528716	0.08636738 
-49.07728716	0.48829610 
-49.06928716	-0.17944880 
-49.06128716	-0.46388130 
-49.05328716	-0.25971250 
-49.04528716	-0.19196140 
-49.03728716	0.22858360 
-49.02928716	-0.14221630 
-49.02128716	-0.00640889 
-49.01328716	-0.09918515 
-49.00528716	-0.31556140 
-48.99728716	0.17303990 
-48.98928716	-0.49470500 
-48.98128716	-0.07446516 
-48.97328716	-0.21027250 
-48.96528716	-0.33387250 
-48.95728716	0.39551990 
-48.94928716	-0.29694510 
-48.94128716	-0.42054500 
-48.93328716	-0.17944880 
-48.92528716	0.12360000 
-48.91728716	-0.21027250 
-48.90928716	-0.22278510 
-48.90128717	-0.48249760 
-48.89328717	0.21637620 
-48.88528717	0.03082369 
-48.87728717	-0.40833760 
-48.86928717	0.16663100 
-48.86128717	-0.27222510 
-48.85328717	0.00610370 
-48.84528717	-0.30915250 
-48.83728717	-0.09918515 
-48.82928717	0.03692739 
-48.82128717	-0.64943390 
-48.81328717	-0.18555250 
-48.80528717	0.09247108 
-48.79728717	-0.23499250 
-48.78928717	-0.13000880 
-48.78128717	0.00000000 
-48.77328717	-0.16693620 
-48.76528717	-0.14221630 
-48.75728717	-0.24750510 
-48.74928717	-0.23499250 
-48.74128717	-0.11139260 
-48.73328717	-0.15472880 
-48.72528717	-0.03112888 
-48.71728717	-0.30915250 
-48.70928717	0.08026367 
-48.70128717	-0.09277626 
-48.69328717	-0.22278510 
-48.68528717	0.00000000 
-48.67728717	-0.11749630 
-48.66928717	-0.09277626 
-48.66128717	-0.40192870 
-48.65328717	-0.23499250 
-48.64528717	0.17914360 
-48.63728717	0.09247108 
-48.62928717	-0.22888880 
-48.62128717	-0.13611250 
-48.61328717	0.01831111 
-48.60528717	0.04303110 
-48.59728717	-0.58137760 
-48.58928717	-0.14862510 
-48.58128717	0.04303110 
-48.57328717	0.33997620 
-48.56528717	-0.25971250 
-48.55728717	-0.52552870 
-48.54928718	-0.06195257 
-48.54128718	0.22247990 
-48.53328718	-0.13000880 
-48.52528718	0.17914360 
-48.51728718	-0.35889770 
-48.50928718	-0.20416880 
-48.50128718	-0.17944880 
-48.49328718	-0.40833760 
-48.48528718	0.03692739 
-48.47728718	-0.01251259 
-48.46928718	-0.38361760 
-48.46128718	0.10498370 
-48.45328718	0.03082369 
-48.44528718	-0.09277626 
-48.43728718	-0.07446516 
-48.42928718	-0.77913750 
-48.42128718	0.05554369 
-48.41328718	0.01220740 
-48.40528718	-0.11749630 
-48.39728718	-0.01251259 
-48.38928718	-0.09918515 
-48.38128718	0.02471999 
-48.37328718	0.05554369 
-48.36528718	-0.18555250 
-48.35728718	-0.32776880 
-48.34928718	-0.24140140 
-48.34128718	0.14831990 
-48.33328718	0.30884730 
-48.32528718	-0.45136870 
-48.31728718	-0.04333628 
-48.30928718	0.06164739 
-48.30128718	0.03692739 
-48.29328718	0.07415997 
-48.28528718	-0.40192870 
-48.27728718	-0.55055390 
-48.26928718	-0.08667256 
-48.26128718	-0.08667256 
-48.25328718	0.02471999 
-48.24528718	-0.24140140 
-48.23728718	-0.14862510 
-48.22928718	-0.04333628 
-48.22128718	-0.14221630 
-48.21328718	-0.19806510 
-48.20528718	-0.10528890 
-48.19728719	-0.14221630 
-48.18928719	0.11719110 
-48.18128719	0.00610370 
-48.17328719	-0.24140140 
-48.16528719	-0.08667256 
-48.15728719	-0.16693620 
-48.14928719	-0.25360880 
-48.14128719	-0.08056886 
-48.13328719	-0.03112888 
-48.12528719	-0.28443250 
-48.11728719	-0.26612140 
-48.10928719	-0.08667256 
-48.10128719	-0.05584887 
-48.09328719	-0.14221630 
-48.08528719	-0.25971250 
-48.07728719	0.05554369 
-48.06928719	-0.09277626 
-48.06128719	0.08636738 
-48.05328719	-0.32166500 
-48.04528719	-0.25971250 
-48.03728719	0.12970370 
-48.02928719	-0.08667256 
-48.02128719	0.14191110 
-48.01328719	-0.64302490 
-48.00528719	-0.37110500 
-47.99728719	0.04943999 
-47.98928719	-0.37720880 
-47.98128719	-0.09918515 
-47.97328719	-0.15472880 
-47.96528719	-0.26612140 
-47.95728719	0.30274360 
-47.94928719	-0.25360880 
-47.94128719	-0.09277626 
-47.93328719	0.05554369 
-47.92528719	-0.71108120 
-47.91728719	0.08026367 
-47.90928719	0.24719990 
-47.90128719	-0.40833760 
-47.89328719	-0.16693620 
-47.88528719	-0.38361760 
-47.87728719	0.06775109 
-47.86928719	0.25940730 
-47.86128719	-0.40192870 
-47.85328719	-0.17944880 
-47.84528720	-0.08056886 
-47.83728720	0.00610370 
-47.82928720	-0.01251259 
-47.82128720	-0.28443250 
-47.81328720	-0.21027250 
-47.80528720	-0.98941000 
-47.79728720	-0.15472880 
-47.78928720	0.57496860 
-47.78128720	0.06775109 
-47.77328720	-0.43305760 
-47.76528720	-0.42054500 
-47.75728720	0.48829610 
-47.74928720	-0.32776880 
-47.74128720	-0.01861629 
-47.73328720	-0.47608870 
-47.72528720	0.17303990 
-47.71728720	0.05554369 
-47.70928720	-0.38361760 
-47.70128720	-0.02502518 
-47.69328720	-0.04974516 
-47.68528720	0.17914360 
-47.67728720	-0.03723258 
-47.66928720	-0.22278510 
-47.66128720	0.15442370 
-47.65328720	0.02471999 
-47.64528720	-0.17334510 
-47.63728720	-0.17944880 
-47.62928720	-0.14862510 
-47.62128720	-0.16693620 
-47.61328720	0.04303110 
-47.60528720	0.13580740 
-47.59728720	-0.21027250 
-47.58928720	-0.29084140 
-47.58128720	-0.02502518 
-47.57328720	0.29663990 
-47.56528720	-0.09277626 
-47.55728720	-0.15472880 
-47.54928720	-0.20416880 
-47.54128720	-0.00640889 
-47.53328720	-0.79775380 
-47.52528720	0.31525620 
-47.51728720	0.19775990 
-47.50928720	0.25330360 
-47.50128720	-0.21027250 
-47.49328720	-0.03112888 
-47.48528721	0.35859250 
-47.47728721	-0.08667256 
-47.46928721	-0.23499250 
-47.46128721	-0.57527390 
-47.45328721	0.14191110 
-47.44528721	-0.37720880 
-47.43728721	0.46967980 
-47.42928721	0.11719110 
-47.42128721	0.12360000 
-47.41328721	-0.09277626 
-47.40528721	-0.23499250 
-47.39728721	-0.03723258 
-47.38928721	0.05554369 
-47.38128721	-0.00640889 
-47.37328721	0.20996730 
-47.36528721	0.31525620 
-47.35728721	0.11719110 
-47.34928721	-0.13611250 
-47.34128721	-0.34028140 
-47.33328721	0.07415997 
-47.32528721	-0.17944880 
-47.31728721	-0.24750510 
-47.30928721	0.27191990 
-47.30128721	-0.57527390 
-47.29328721	-0.44526500 
-47.28528721	0.11719110 
-47.27728721	0.05554369 
-47.26928721	-0.21668140 
-47.26128721	-0.11139260 
-47.25328721	-0.19196140 
-47.24528721	0.10498370 
-47.23728721	-0.19806510 
-47.22928721	-0.34638510 
-47.22128721	0.42023980 
-47.21328721	-0.14862510 
-47.20528721	-0.22278510 
-47.19728721	0.04943999 
-47.18928721	-0.11749630 
-47.18128721	0.04943999 
-47.17328721	-0.40192870 
-47.16528721	0.25330360 
-47.15728721	0.11108740 
-47.14928721	-0.53193760 
-47.14128721	0.11108740 
-47.13328722	-0.00640889 
-47.12528722	-0.26612140 
-47.11728722	-0.42054500 
-47.10928722	0.56855980 
-47.10128722	0.14831990 
-47.09328722	-0.11139260 
-47.08528722	-0.56276130 
-47.07728722	0.42634360 
-47.06928722	0.08636738 
-47.06128722	-0.19196140 
-47.05328722	0.37690360 
-47.04528722	-0.79165010 
-47.03728722	-0.11749630 
-47.02928722	-0.05584887 
-47.02128722	-0.86581010 
-47.01328722	-0.28443250 
-47.00528722	0.03692739 
-46.99728722	-0.21027250 
-46.98928722	-0.51332130 
-46.98128722	0.69215980 
-46.97328722	0.39551990 
-46.96528722	-0.41444130 
-46.95728722	0.03692739 
-46.94928722	0.55635240 
-46.94128722	-0.03723258 
-46.93328722	-0.92745750 
-46.92528722	0.17303990 
-46.91728722	-0.05584887 
-46.90928722	0.27191990 
-46.90128722	-0.21027250 
-46.89328722	-0.05584887 
-46.88528722	-0.22278510 
-46.87728722	0.02471999 
-46.86928722	-0.09918515 
-46.86128722	-0.00640889 
-46.85328722	0.04943999 
-46.84528722	-0.23499250 
-46.83728722	0.06164739 
-46.82928722	0.27191990 
-46.82128722	-0.36500140 
-46.81328722	-0.10528890 
-46.80528722	-0.17944880 
-46.79728722	0.00000000 
-46.78928722	-0.06195257 
-46.78128723	-0.08667256 
-46.77328723	0.14191110 
-46.76528723	-0.15472880 
-46.75728723	-0.17944880 
-46.74928723	-0.16083250 
-46.74128723	0.05554369 
-46.73328723	-0.15472880 
-46.72528723	-0.00640889 
-46.71728723	-0.08056886 
-46.70928723	-0.03723258 
-46.70128723	-0.72359380 
-46.69328723	0.14831990 
-46.68528723	0.23468730 
-46.67728723	0.01831111 
-46.66928723	-0.24750510 
-46.66128723	-0.22278510 
-46.65328723	0.19775990 
-46.64528723	0.15442370 
-46.63728723	-0.14221630 
-46.62928723	-0.06195257 
-46.62128723	-0.18555250 
-46.61328723	-0.18555250 
-46.60528723	-0.22888880 
-46.59728723	-0.08667256 
-46.58928723	-0.04974516 
-46.58128723	-0.20416880 
-46.57328723	0.01831111 
-46.56528723	0.04303110 
-46.55728723	-0.24140140 
-46.54928723	-0.37110500 
-46.54128723	-0.05584887 
-46.53328723	-0.24140140 
-46.52528723	-0.19196140 
-46.51728723	-0.17944880 
-46.50928723	-0.21668140 
-46.50128723	-0.17334510 
-46.49328723	-0.20416880 
-46.48528723	-0.25360880 
-46.47728723	0.03692739 
-46.46928723	-0.06195257 
-46.46128723	-0.55665760 
-46.45328723	0.70467230 
-46.44528723	-0.06195257 
-46.43728723	-0.13611250 
