Tempo (us) 	 Tensione (V)


-100.019520	-0.000177
-100.003520	-0.000299
-99.987520	0.000555
-99.971520	0.000800
-99.955520	0.000800
-99.939520	-0.003656
-99.923520	-0.002893
-99.907520	0.000677
-99.891520	-0.000665
-99.875520	-0.000909
-99.859520	0.000311
-99.843520	-0.003656
-99.827520	0.002783
-99.811520	0.000677
-99.795520	-0.001428
-99.779520	-0.001428
-99.763520	-0.003656
-99.747520	-0.000177
-99.731520	-0.000543
-99.715520	-0.001428
-99.699520	0.001196
-99.683520	0.001440
-99.667520	0.002417
-99.651520	0.000952
-99.635520	-0.002405
-99.619520	-0.000299
-99.603520	-0.002893
-99.587520	-0.002771
-99.571520	-0.000543
-99.555520	-0.001062
-99.539520	0.000555
-99.523520	-0.001184
-99.507520	-0.000421
-99.491520	-0.003046
-99.475520	-0.002283
-99.459520	0.000311
-99.443520	-0.001306
-99.427520	0.000189
-99.411520	-0.001550
-99.395520	-0.002405
-99.379520	-0.001184
-99.363520	0.000189
-99.347520	-0.000543
-99.331520	-0.000177
-99.315520	0.002783
-99.299520	-0.003412
-99.283520	-0.000299
-99.267520	-0.003290
-99.251520	-0.001672
-99.235520	0.000311
-99.219520	0.000800
-99.203520	-0.001184
-99.187520	0.004645
-99.171520	-0.002527
-99.155520	-0.000177
-99.139520	-0.001428
-99.123520	0.002539
-99.107520	-0.000421
-99.091520	-0.000665
-99.075520	-0.002649
-99.059520	-0.001550
-99.043520	-0.002039
-99.027520	-0.000909
-99.011520	-0.000421
-98.995520	-0.000543
-98.979520	-0.000787
-98.963520	-0.001428
-98.947520	0.001929
-98.931520	0.001318
-98.915520	-0.001428
-98.899520	-0.001306
-98.883520	-0.005152
-98.867520	-0.001062
-98.851520	-0.000909
-98.835520	-0.000421
-98.819520	-0.000055
-98.803520	-0.003168
-98.787520	-0.001550
-98.771520	0.000677
-98.755520	-0.002283
-98.739520	-0.003534
-98.723520	-0.000299
-98.707520	-0.003290
-98.691520	-0.002405
-98.675520	-0.000177
-98.659520	-0.001672
-98.643520	-0.000055
-98.627520	-0.002283
-98.611520	-0.000055
-98.595520	-0.000543
-98.579520	-0.000421
-98.563520	-0.002161
-98.547520	0.000311
-98.531520	-0.001550
-98.515520	-0.002283
-98.499520	0.000311
-98.483520	-0.002161
-98.467520	-0.003412
-98.451520	0.000067
-98.435520	0.002295
-98.419520	-0.001306
-98.403520	-0.000909
-98.387520	0.002295
-98.371520	0.000189
-98.355520	-0.004267
-98.339520	0.003912
-98.323520	-0.001550
-98.307520	0.001929
-98.291520	0.000311
-98.275520	-0.001795
-98.259520	-0.001795
-98.243520	-0.004144
-98.227520	-0.000543
-98.211520	-0.000055
-98.195520	0.000067
-98.179520	-0.000055
-98.163520	-0.000543
-98.147520	0.000555
-98.131520	0.000677
-98.115520	-0.003656
-98.099520	-0.000299
-98.083520	-0.000787
-98.067520	-0.003290
-98.051520	-0.002771
-98.035520	0.000311
-98.019520	-0.002283
-98.003520	-0.000665
-97.987520	0.001562
-97.971520	-0.002771
-97.955520	-0.002405
-97.939520	0.000952
-97.923520	0.000555
-97.907520	-0.000055
-97.891520	-0.001428
-97.875520	-0.000543
