Tempo	Canale A 
(us)	(V) 
 
-100.02900856	0.39957880 
-100.01300856	0.40018920 
-99.99700856	0.40055540 
-99.98100856	0.39844970 
-99.96500856	0.39683220 
-99.94900856	0.39909060 
-99.93300856	0.39869380 
-99.91700856	0.40131840 
-99.90100856	0.39921260 
-99.88500856	0.40144050 
-99.86900856	0.39994510 
-99.85300856	0.39857170 
-99.83700856	0.39808340 
-99.82100856	0.40043340 
-99.80500856	0.39735100 
-99.78900857	0.39585560 
-99.77300857	0.40043340 
-99.75700857	0.39548940 
-99.74100857	0.39609970 
-99.72500857	0.40229500 
-99.70900857	0.39909060 
-99.69300857	0.39909060 
-99.67700857	0.39759510 
-99.66100857	0.39808340 
-99.64500857	0.39933470 
-99.62900857	0.39796140 
-99.61300857	0.40318000 
-99.59700857	0.39970090 
-99.58100857	0.39857170 
-99.56500857	0.39994510 
-99.54900857	0.39921260 
-99.53300857	0.39982300 
-99.51700857	0.40055540 
-99.50100857	0.39783930 
-99.48500857	0.39933470 
-99.46900857	0.39683220 
-99.45300857	0.39747310 
-99.43700858	0.39634390 
-99.42100858	0.40006720 
-99.40500858	0.40067750 
-99.38900858	0.40119630 
-99.37300858	0.39933470 
-99.35700858	0.39622180 
-99.34100858	0.39832760 
-99.32500858	0.39735100 
-99.30900858	0.40205090 
-99.29300858	0.39921260 
-99.27700858	0.40043340 
-99.26100858	0.40095220 
-99.24500858	0.40131840 
-99.22900858	0.39710690 
-99.21300858	0.40079960 
-99.19700858	0.39832760 
-99.18100858	0.39796140 
-99.16500858	0.39832760 
-99.14900858	0.39933470 
-99.13300858	0.40043340 
-99.11700858	0.39869380 
-99.10100858	0.39722890 
-99.08500859	0.39759510 
-99.06900859	0.39893790 
-99.05300859	0.39893790 
-99.03700859	0.39857170 
-99.02100859	0.39771720 
-99.00500859	0.39933470 
-98.98900859	0.40006720 
-98.97300859	0.39735100 
-98.95700859	0.39671010 
-98.94100859	0.39893790 
-98.92500859	0.40229500 
-98.90900859	0.40067750 
-98.89300859	0.40018920 
-98.87700859	0.39796140 
-98.86100859	0.40119630 
-98.84500859	0.39982300 
-98.82900859	0.40079960 
-98.81300859	0.39893790 
-98.79700859	0.39832760 
-98.78100859	0.39759510 
-98.76500859	0.39857170 
-98.74900859	0.40095220 
-98.73300860	0.39722890 
-98.71700860	0.39857170 
-98.70100860	0.39893790 
-98.68500860	0.39796140 
-98.66900860	0.39857170 
-98.65300860	0.40107430 
-98.63700860	0.39683220 
