Tempo (us) 	 Tensione (mv)


-50.014272	-0.899100
-50.006272	0.242300
-49.998272	0.022600
-49.990272	-0.624400
-49.982272	-0.227700
-49.974272	-0.130000
-49.966272	-0.374200
-49.958272	-0.868600
-49.950272	0.291200
-49.942272	0.217900
-49.934272	0.315600
-49.926272	-1.240900
-49.918272	-0.227700
-49.910272	-0.178800
-49.902272	-0.227700
-49.894272	-0.899100
-49.886272	-0.252100
-49.878272	-0.276500
-49.870272	-0.575600
-49.862272	-0.154400
-49.854272	-0.056800
-49.846272	0.022600
-49.838272	-0.551200
-49.830272	-0.770900
-49.822272	-0.105600
-49.814272	0.193500
-49.806272	-0.276500
-49.798272	-0.349700
-49.790272	-0.551200
-49.782272	-0.325300
-49.774272	-0.722100
-49.766272	-0.398600
-49.758272	0.242300
-49.750272	-0.477900
-49.742272	-0.423000
-49.734272	-0.819700
-49.726272	-0.300900
-49.718272	-0.252100
-49.710272	0.144700
-49.702272	-0.300900
-49.694272	0.266700
-49.686272	-0.398600
-49.678272	0.022600
-49.670272	-0.325300
-49.662272	-0.453500
-49.654272	0.687900
-49.646272	0.266700
-49.638272	-0.600000
-49.630272	0.169100
-49.622272	-0.130000
-49.614272	0.169100
-49.606272	-0.453500
-49.598272	-0.423000
-49.590272	-0.526800
-49.582272	-0.349700
-49.574272	0.047000
-49.566272	-0.154400
-49.558272	-0.032300
-49.550272	-0.575600
-49.542272	-0.300900
-49.534272	-0.526800
-49.526272	-0.624400
-49.518272	0.517000
-49.510272	0.340000
-49.502272	-1.167600
-49.494272	-0.227700
-49.486272	0.291200
-49.478272	-0.477900
-49.470272	-0.252100
-49.462272	-0.252100
-49.454272	0.022600
-49.446272	-1.021100
-49.438272	-0.844100
-49.430272	-0.105600
-49.422272	0.047000
-49.414272	-0.551200
-49.406272	-1.442300
-49.398272	-0.001800
-49.390272	1.579000
-49.382272	-0.453500
-49.374272	-1.070000
-49.366272	-0.819700
-49.358272	0.340000
-49.350272	-0.868600
-49.342272	-0.923500
-49.334272	0.242300
-49.326272	0.340000
-49.318272	-1.344700
-49.310272	-0.325300
-49.302272	0.413200
-49.294272	0.071400
-49.286272	-1.515500
-49.278272	-0.423000
-49.270272	0.639100
-49.262272	0.022600
-49.254272	-0.770900
-49.246272	-0.423000
-49.238272	-0.001800
-49.230272	-0.178800
-49.222272	-0.398600
-49.214272	-0.746500
-49.206272	-0.081200
-49.198272	-0.178800
-49.190272	-0.526800
-49.182272	-0.526800
-49.174272	0.388800
-49.166272	0.095800
-49.158272	-0.673200
-49.150272	-0.081200
-49.142272	0.047000
-49.134272	-0.477900
-49.126272	-0.600000
-49.118272	-0.203300
-49.110272	-0.252100
-49.102272	-0.001800
-49.094272	-0.453500
-49.086272	-0.526800
-49.078272	-0.325300
-49.070272	-0.227700
-49.062272	-0.349700
-49.054272	-0.648800
-49.046272	-0.423000
-49.038272	-0.178800
-49.030272	0.022600
-49.022272	-0.453500
-49.014272	-0.130000
-49.006272	0.047000
-48.998272	0.095800
-48.990272	-0.300900
-48.982272	0.095800
-48.974272	-0.423000
-48.966272	-0.227700
-48.958272	0.217900
-48.950272	0.071400
-48.942272	0.047000
