Tempo	Canale A 
(us)	(mV) 
 
-50.00856817	180.14470000 
-50.00056817	179.74790000 
-49.99256817	179.94320000 
-49.98456817	179.22910000 
-49.97656817	179.22910000 
-49.96856817	180.21790000 
-49.96056817	179.84560000 
-49.95256817	179.72350000 
-49.94456817	179.40000000 
-49.93656817	179.96770000 
-49.92856817	180.66350000 
-49.92056817	178.75910000 
-49.91256817	180.19350000 
-49.90456817	180.07140000 
-49.89656817	180.88930000 
-49.88856817	179.44880000 
-49.88056817	180.36440000 
-49.87256817	179.67470000 
-49.86456817	179.44880000 
-49.85656817	179.67470000 
-49.84856817	179.37560000 
-49.84056817	181.18230000 
-49.83256817	179.05210000 
-49.82456817	180.02260000 
-49.81656817	179.87000000 
-49.80856817	179.99820000 
-49.80056817	179.22910000 
-49.79256817	178.55770000 
-49.78456817	179.57700000 
-49.77656817	179.84560000 
-49.76856817	179.22910000 
-49.76056817	179.89440000 
-49.75256817	180.24230000 
-49.74456817	180.19350000 
-49.73656817	179.49770000 
-49.72856817	179.87000000 
-49.72056817	179.72350000 
-49.71256817	179.99820000 
-49.70456817	180.16910000 
-49.69656817	179.47320000 
-49.68856817	180.38880000 
-49.68056817	179.15590000 
-49.67256818	179.60140000 
-49.66456818	179.35120000 
-49.65656818	179.77230000 
-49.64856818	179.60140000 
-49.64056818	179.37560000 
-49.63256818	180.38880000 
-49.62456818	180.21790000 
-49.61656818	179.87000000 
-49.60856818	179.65030000 
-49.60056818	179.77230000 
-49.59256818	180.07140000 
-49.58456818	180.29120000 
-49.57656818	179.40000000 
-49.56856818	179.20470000 
-49.56056818	179.49770000 
-49.55256818	180.34000000 
-49.54456818	179.94320000 
-49.53656818	179.40000000 
-49.52856818	179.99820000 
-49.52056818	179.87000000 
-49.51256818	180.14470000 
-49.50456818	180.12020000 
-49.49656818	179.77230000 
-49.48856818	179.67470000 
-49.48056818	179.62580000 
-49.47256818	179.82120000 
-49.46456818	180.26670000 
-49.45656818	180.36440000 
-49.44856818	180.41320000 
-49.44056818	180.09580000 
-49.43256818	179.91880000 
-49.42456818	180.14470000 
-49.41656818	179.82120000 
-49.40856818	179.84560000 
-49.40056818	180.19350000 
-49.39256818	179.32680000 
-49.38456818	179.25350000 
-49.37656818	179.67470000 
-49.36856818	179.91880000 
-49.36056818	180.24230000 
-49.35256818	179.84560000 
-49.34456818	179.32680000 
-49.33656818	179.52210000 
-49.32856818	179.72350000 
-49.32056819	179.77230000 
-49.31256819	180.04700000 
-49.30456819	179.77230000 
-49.29656819	179.74790000 
-49.28856819	180.24230000 
-49.28056819	180.49260000 
-49.27256819	179.99820000 
-49.26456819	179.42440000 
-49.25656819	180.09580000 
-49.24856819	180.29120000 
-49.24056819	180.49260000 
-49.23256819	180.07140000 
-49.22456819	179.96770000 
-49.21656819	180.09580000 
-49.20856819	179.72350000 
-49.20056819	179.89440000 
-49.19256819	179.42440000 
-49.18456819	180.04700000 
-49.17656819	180.31560000 
-49.16856819	180.09580000 
-49.16056819	179.99820000 
-49.15256819	179.37560000 
-49.14456819	179.60140000 
-49.13656819	180.31560000 
-49.12856819	180.09580000 
-49.12056819	179.79670000 
-49.11256819	179.96770000 
-49.10456819	179.27790000 
-49.09656819	180.56580000 
-49.08856819	180.38880000 
-49.08056819	179.47320000 
-49.07256819	179.52210000 
-49.06456819	179.99820000 
-49.05656819	179.87000000 
-49.04856819	179.72350000 
-49.04056819	179.57700000 
-49.03256819	180.07140000 
-49.02456819	180.61460000 
-49.01656819	179.82120000 
-49.00856819	180.16910000 
-49.00056819	180.29120000 
-48.99256819	180.16910000 
-48.98456819	179.77230000 
-48.97656819	179.57700000 
-48.96856820	180.24230000 
-48.96056820	179.84560000 
-48.95256820	179.47320000 
-48.94456820	179.30230000 
-48.93656820	180.21790000 
-48.92856820	180.44370000 
-48.92056820	179.05210000 
-48.91256820	180.24230000 
-48.90456820	180.02260000 
-48.89656820	179.74790000 
-48.88856820	180.02260000 
-48.88056820	179.82120000 
-48.87256820	180.38880000 
-48.86456820	179.22910000 
-48.85656820	179.79670000 
-48.84856820	179.89440000 
-48.84056820	179.96770000 
-48.83256820	179.82120000 
-48.82456820	179.67470000 
-48.81656820	179.91880000 
-48.80856820	180.41320000 
-48.80056820	179.89440000 
-48.79256820	180.14470000 
-48.78456820	180.38880000 
-48.77656820	179.99820000 
-48.76856820	180.09580000 
-48.76056820	179.65030000 
-48.75256820	179.30230000 
-48.74456820	180.14470000 
-48.73656820	179.87000000 
-48.72856820	179.79670000 
-48.72056820	180.02260000 
-48.71256820	179.52210000 
-48.70456820	179.87000000 
-48.69656820	180.09580000 
-48.68856820	179.42440000 
-48.68056820	179.79670000 
-48.67256820	180.16910000 
-48.66456820	179.94320000 
-48.65656820	180.93810000 
-48.64856820	179.35120000 
-48.64056820	179.89440000 
-48.63256820	179.57700000 
-48.62456820	180.29120000 
-48.61656821	179.69910000 
-48.60856821	180.14470000 
-48.60056821	179.77230000 
-48.59256821	179.91880000 
-48.58456821	179.84560000 
-48.57656821	180.24230000 
-48.56856821	179.65030000 
-48.56056821	179.91880000 
-48.55256821	180.02260000 
-48.54456821	179.62580000 
-48.53656821	179.94320000 
-48.52856821	180.54140000 
-48.52056821	180.24230000 
-48.51256821	180.09580000 
-48.50456821	180.38880000 
-48.49656821	180.41320000 
-48.48856821	179.67470000 
-48.48056821	179.72350000 
-48.47256821	180.73670000 
-48.46456821	179.52210000 
-48.45656821	179.49770000 
-48.44856821	179.47320000 
-48.44056821	180.04700000 
-48.43256821	179.60140000 
-48.42456821	179.52210000 
-48.41656821	180.09580000 
-48.40856821	180.29120000 
-48.40056821	180.02260000 
-48.39256821	179.62580000 
-48.38456821	179.84560000 
-48.37656821	180.34000000 
-48.36856821	179.67470000 
-48.36056821	179.82120000 
-48.35256821	179.89440000 
-48.34456821	180.29120000 
-48.33656821	178.95440000 
-48.32856821	179.57700000 
-48.32056821	179.60140000 
-48.31256821	180.44370000 
-48.30456821	179.52210000 
-48.29656821	179.27790000 
-48.28856821	179.57700000 
-48.28056821	180.46810000 
-48.27256821	179.84560000 
-48.26456822	179.84560000 
-48.25656822	180.29120000 
-48.24856822	179.37560000 
-48.24056822	179.82120000 
-48.23256822	179.77230000 
-48.22456822	179.84560000 
-48.21656822	180.12020000 
-48.20856822	179.52210000 
-48.20056822	180.09580000 
-48.19256822	180.44370000 
-48.18456822	179.27790000 
-48.17656822	179.40000000 
-48.16856822	180.07140000 
-48.16056822	179.69910000 
-48.15256822	179.96770000 
-48.14456822	179.67470000 
-48.13656822	179.72350000 
-48.12856822	179.54650000 
-48.12056822	179.82120000 
-48.11256822	180.14470000 
-48.10456822	179.91880000 
-48.09656822	179.84560000 
-48.08856822	179.25350000 
-48.08056822	179.82120000 
-48.07256822	179.65030000 
-48.06456822	180.14470000 
-48.05656822	179.82120000 
-48.04856822	180.09580000 
-48.04056822	179.87000000 
-48.03256822	179.13140000 
-48.02456822	179.94320000 
-48.01656822	179.72350000 
-48.00856822	179.60140000 
-48.00056822	179.99820000 
-47.99256822	179.79670000 
-47.98456822	179.74790000 
-47.97656822	179.89440000 
-47.96856822	179.52210000 
-47.96056822	179.89440000 
-47.95256822	179.18030000 
-47.94456822	179.69910000 
-47.93656822	179.69910000 
-47.92856822	180.09580000 
-47.92056822	179.62580000 
-47.91256822	179.87000000 
-47.90456823	180.07140000 
-47.89656823	179.96770000 
-47.88856823	179.30230000 
-47.88056823	179.65030000 
-47.87256823	180.16910000 
-47.86456823	180.04700000 
-47.85656823	180.68790000 
-47.84856823	179.44880000 
-47.84056823	180.09580000 
-47.83256823	180.02260000 
-47.82456823	179.47320000 
-47.81656823	178.83240000 
-47.80856823	179.94320000 
-47.80056823	179.13140000 
-47.79256823	179.30230000 
-47.78456823	180.81000000 
-47.77656823	180.12020000 
-47.76856823	179.96770000 
-47.76056823	179.42440000 
-47.75256823	180.16910000 
-47.74456823	180.12020000 
-47.73656823	179.35120000 
-47.72856823	179.91880000 
-47.72056823	180.02260000 
-47.71256823	180.02260000 
-47.70456823	179.72350000 
-47.69656823	179.72350000 
-47.68856823	179.69910000 
-47.68056823	179.79670000 
-47.67256823	179.32680000 
-47.66456823	179.89440000 
-47.65656823	179.62580000 
-47.64856823	179.99820000 
-47.64056823	179.69910000 
-47.63256823	180.61460000 
-47.62456823	179.79670000 
-47.61656823	180.09580000 
-47.60856823	179.82120000 
-47.60056823	179.77230000 
-47.59256823	178.93000000 
-47.58456823	179.91880000 
-47.57656823	180.09580000 
-47.56856823	180.14470000 
-47.56056823	179.13140000 
-47.55256824	180.04700000 
-47.54456824	179.89440000 
-47.53656824	180.56580000 
-47.52856824	179.74790000 
-47.52056824	179.20470000 
-47.51256824	179.77230000 
-47.50456824	179.84560000 
-47.49656824	179.54650000 
-47.48856824	179.72350000 
-47.48056824	179.49770000 
-47.47256824	179.91880000 
-47.46456824	179.69910000 
-47.45656824	180.19350000 
-47.44856824	179.79670000 
-47.44056824	179.87000000 
-47.43256824	179.87000000 
-47.42456824	179.84560000 
-47.41656824	180.73670000 
-47.40856824	179.72350000 
-47.40056824	180.16910000 
-47.39256824	180.34000000 
-47.38456824	179.87000000 
-47.37656824	179.84560000 
-47.36856824	179.69910000 
-47.36056824	180.09580000 
-47.35256824	180.21790000 
-47.34456824	179.79670000 
-47.33656824	180.61460000 
-47.32856824	179.44880000 
-47.32056824	179.77230000 
-47.31256824	179.69910000 
-47.30456824	180.44370000 
-47.29656824	179.25350000 
-47.28856824	180.12020000 
-47.28056824	179.94320000 
-47.27256824	179.96770000 
-47.26456824	179.30230000 
-47.25656824	179.72350000 
-47.24856824	179.62580000 
-47.24056824	180.34000000 
-47.23256824	179.32680000 
-47.22456824	179.30230000 
-47.21656824	179.25350000 
-47.20856824	180.12020000 
-47.20056825	179.54650000 
-47.19256825	179.79670000 
-47.18456825	179.57700000 
-47.17656825	179.94320000 
-47.16856825	179.69910000 
-47.16056825	179.65030000 
-47.15256825	179.52210000 
-47.14456825	180.41320000 
-47.13656825	179.74790000 
-47.12856825	179.62580000 
-47.12056825	180.59020000 
-47.11256825	179.74790000 
-47.10456825	179.57700000 
-47.09656825	179.87000000 
-47.08856825	180.02260000 
-47.08056825	180.04700000 
-47.07256825	180.21790000 
-47.06456825	179.42440000 
-47.05656825	179.54650000 
-47.04856825	179.96770000 
-47.04056825	180.12020000 
-47.03256825	180.21790000 
-47.02456825	179.67470000 
-47.01656825	179.69910000 
-47.00856825	179.82120000 
-47.00056825	179.91880000 
-46.99256825	179.57700000 
-46.98456825	179.35120000 
-46.97656825	179.65030000 
-46.96856825	179.74790000 
-46.96056825	179.52210000 
-46.95256825	178.93000000 
-46.94456825	179.91880000 
-46.93656825	180.02260000 
-46.92856825	180.14470000 
-46.92056825	179.87000000 
-46.91256825	179.74790000 
-46.90456825	180.46810000 
-46.89656825	179.30230000 
-46.88856825	179.49770000 
-46.88056825	179.65030000 
-46.87256825	180.19350000 
-46.86456825	179.67470000 
-46.85656825	180.19350000 
-46.84856826	179.74790000 
-46.84056826	179.62580000 
-46.83256826	179.82120000 
-46.82456826	179.87000000 
-46.81656826	180.19350000 
-46.80856826	180.54140000 
-46.80056826	179.96770000 
-46.79256826	179.15590000 
-46.78456826	179.77230000 
-46.77656826	180.14470000 
-46.76856826	179.77230000 
-46.76056826	179.37560000 
-46.75256826	179.91880000 
-46.74456826	179.84560000 
-46.73656826	180.49260000 
-46.72856826	179.13140000 
-46.72056826	179.89440000 
-46.71256826	179.22910000 
-46.70456826	179.57700000 
-46.69656826	180.19350000 
-46.68856826	180.14470000 
-46.68056826	179.74790000 
-46.67256826	179.77230000 
-46.66456826	180.14470000 
-46.65656826	179.49770000 
-46.64856826	180.36440000 
-46.64056826	179.27790000 
-46.63256826	179.79670000 
-46.62456826	180.36440000 
-46.61656826	180.09580000 
-46.60856826	180.12020000 
-46.60056826	179.54650000 
-46.59256826	179.69910000 
-46.58456826	179.94320000 
-46.57656826	179.99820000 
-46.56856826	179.60140000 
-46.56056826	179.18030000 
-46.55256826	179.94320000 
-46.54456826	180.14470000 
-46.53656826	179.62580000 
-46.52856826	180.12020000 
-46.52056826	179.79670000 
-46.51256826	179.99820000 
-46.50456826	180.16910000 
-46.49656827	179.87000000 
-46.48856827	180.21790000 
-46.48056827	179.72350000 
-46.47256827	180.02260000 
-46.46456827	180.21790000 
-46.45656827	180.19350000 
-46.44856827	179.30230000 
-46.44056827	179.99820000 
-46.43256827	179.13140000 
-46.42456827	180.14470000 
-46.41656827	179.69910000 
-46.40856827	179.60140000 
-46.40056827	180.34000000 
-46.39256827	180.02260000 
-46.38456827	179.91880000 
-46.37656827	179.18030000 
-46.36856827	180.38880000 
-46.36056827	180.24230000 
-46.35256827	179.25350000 
-46.34456827	179.91880000 
-46.33656827	179.89440000 
-46.32856827	179.30230000 
-46.32056827	179.77230000 
-46.31256827	179.65030000 
-46.30456827	179.60140000 
-46.29656827	179.77230000 
-46.28856827	179.54650000 
-46.28056827	179.84560000 
-46.27256827	180.24230000 
-46.26456827	179.32680000 
