Tempo	Canale A 
(ms)	(V) 
 
-5.00003759	0.00317393 
-4.99993359	0.00268563 
-4.99982959	0.00122074 
-4.99972559	0.00317393 
-4.99962159	-0.00451674 
-4.99951759	-0.00103763 
-4.99941359	0.00195319 
-4.99930959	-0.00250252 
-4.99920559	-0.00152593 
-4.99910159	0.00097659 
-4.99899759	0.00592059 
-4.99889359	0.00268563 
-4.99878959	-0.00201422 
-4.99868559	-0.00250252 
-4.99858159	-0.00103763 
-4.99847759	0.00000000 
-4.99837359	0.00421155 
-4.99826959	0.00024415 
-4.99816559	0.00048830 
-4.99806159	-0.00128178 
-4.99795759	0.00170904 
-4.99785359	-0.00274667 
-4.99774959	-0.00079348 
-4.99764559	0.00024415 
-4.99754159	0.00122074 
-4.99743759	-0.00347911 
-4.99733359	0.00048830 
-4.99722959	-0.00079348 
-4.99712559	-0.00476089 
-4.99702159	0.00592059 
-4.99691759	0.00244148 
-4.99681359	0.00518815 
-4.99670959	-0.00103763 
-4.99660559	-0.00079348 
-4.99650159	-0.00201422 
-4.99639759	0.00567644 
-4.99629359	0.00769066 
-4.99618959	-0.00744652 
-4.99608559	0.00170904 
-4.99598159	-0.00451674 
-4.99587759	-0.00476089 
-4.99577359	-0.00225837 
-4.99566959	0.00366222 
-4.99556559	0.00396741 
-4.99546159	-0.00225837 
-4.99535759	0.00317393 
-4.99525359	0.00097659 
-4.99514959	-0.00201422 
-4.99504559	0.00024415 
-4.99494159	-0.00152593 
-4.99483759	0.00170904 
-4.99473359	-0.00427259 
-4.99462959	-0.00103763 
-4.99452559	0.00292978 
-4.99442159	-0.00079348 
-4.99431759	0.00048830 
-4.99421359	0.00445570 
-4.99410959	0.00366222 
-4.99400559	0.00024415 
-4.99390159	0.00073244 
-4.99379759	0.00195319 
-4.99369359	-0.00103763 
-4.99358959	0.00445570 
-4.99348559	0.00073244 
-4.99338159	-0.00030519 
-4.99327759	0.00048830 
-4.99317359	-0.00274667 
-4.99306959	0.00219733 
-4.99296559	-0.00128178 
-4.99286159	0.00146489 
-4.99275759	0.00146489 
-4.99265359	-0.00177007 
-4.99254959	-0.00030519 
-4.99244559	-0.00152593 
-4.99234159	0.00366222 
-4.99223759	0.00341807 
-4.99213359	-0.00030519 
-4.99202959	-0.00274667 
-4.99192559	0.00366222 
-4.99182159	-0.00274667 
-4.99171759	0.00793481 
-4.99161359	-0.00030519 
-4.99150959	-0.00225837 
-4.99140559	-0.00274667 
-4.99130159	0.00219733 
-4.99119759	-0.00372326 
-4.99109359	0.00122074 
-4.99098959	-0.00030519 
-4.99088559	0.00366222 
-4.99078159	-0.00402844 
-4.99067759	0.00073244 
-4.99057359	0.00195319 
-4.99046959	0.00292978 
-4.99036559	-0.00103763 
-4.99026159	0.00366222 
-4.99015759	-0.00103763 
-4.99005359	0.00793481 
-4.98994959	0.00024415 
-4.98984559	-0.00323496 
-4.98974159	-0.00372326 
-4.98963759	-0.00201422 
-4.98953359	-0.00347911 
-4.98942959	0.00170904 
-4.98932559	0.00366222 
-4.98922159	0.00366222 
-4.98911759	0.00665304 
