Tempo	Canale A 
(us)	(mV) 
 
-50.01214857	179.82730000 
-50.00414857	179.82730000 
-49.99614857	180.29720000 
-49.98814857	179.87610000 
-49.98014857	179.87610000 
-49.97214857	179.62580000 
-49.96414857	179.15590000 
-49.95614857	179.35730000 
-49.94814857	179.52820000 
-49.94014857	179.99820000 
-49.93214857	179.43050000 
-49.92414857	179.80290000 
-49.91614857	180.19960000 
-49.90814857	179.72960000 
-49.90014857	179.40610000 
-49.89214857	179.97380000 
-49.88414857	179.92490000 
-49.87614857	179.85170000 
-49.86814857	179.62580000 
-49.86014857	179.30840000 
-49.85214857	180.02260000 
-49.84414857	179.60140000 
-49.83614857	179.40610000 
-49.82814857	179.55260000 
-49.82014857	180.51700000 
-49.81214857	179.10700000 
-49.80414857	179.90050000 
-49.79614857	178.78350000 
-49.78814857	179.92490000 
-49.78014857	180.57190000 
-49.77214857	179.50380000 
-49.76414857	180.22400000 
-49.75614857	179.85170000 
-49.74814858	179.62580000 
-49.74014858	179.22910000 
-49.73214858	180.66960000 
-49.72414858	179.30840000 
-49.71614858	180.04700000 
-49.70814858	179.75400000 
-49.70014858	180.57190000 
-49.69214858	180.02260000 
-49.68414858	179.92490000 
-49.67614858	179.72960000 
-49.66814858	180.02260000 
-49.66014858	179.22910000 
-49.65214858	179.55260000 
-49.64414858	180.07140000 
-49.63614858	179.05820000 
-49.62814858	179.72960000 
-49.62014858	179.99820000 
-49.61214858	180.22400000 
-49.60414858	179.38170000 
-49.59614858	179.00940000 
-49.58814858	180.07140000 
-49.58014858	179.33290000 
-49.57214858	179.15590000 
-49.56414858	180.44370000 
-49.55614858	179.80290000 
-49.54814858	180.69400000 
-49.54014858	178.24030000 
-49.53214858	180.54750000 
-49.52414858	179.72960000 
-49.51614858	179.38170000 
-49.50814858	179.28400000 
-49.50014858	179.43050000 
-49.49214858	181.01750000 
-49.48414858	179.90050000 
-49.47614858	178.88730000 
-49.46814858	180.41930000 
-49.46014858	180.39490000 
-49.45214858	178.46610000 
-49.44414858	179.08260000 
-49.43614858	179.65030000 
-49.42814858	179.82730000 
-49.42014858	179.47940000 
-49.41214858	179.52820000 
-49.40414858	180.17520000 
-49.39614859	179.90050000 
-49.38814859	179.99820000 
-49.38014859	179.43050000 
-49.37214859	179.08260000 
-49.36414859	180.04700000 
-49.35614859	179.85170000 
-49.34814859	179.28400000 
-49.34014859	179.97380000 
-49.33214859	179.94930000 
-49.32414859	179.57700000 
-49.31614859	179.65030000 
-49.30814859	179.55260000 
-49.30014859	180.12630000 
-49.29214859	179.77840000 
-49.28414859	179.13140000 
-49.27614859	180.17520000 
-49.26814859	180.29720000 
-49.26014859	179.80290000 
-49.25214859	180.02260000 
-49.24414859	179.28400000 
-49.23614859	179.55260000 
-49.22814859	179.55260000 
-49.22014859	179.97380000 
-49.21214859	179.92490000 
-49.20414859	179.45490000 
-49.19614859	179.92490000 
-49.18814859	180.29720000 
-49.18014859	179.15590000 
-49.17214859	180.04700000 
-49.16414859	179.20470000 
-49.15614859	179.77840000 
-49.14814859	179.94930000 
-49.14014859	179.75400000 
-49.13214859	179.13140000 
-49.12414859	179.85170000 
-49.11614859	179.28400000 
-49.10814859	180.51700000 
-49.10014859	179.33290000 
-49.09214859	180.09580000 
-49.08414859	179.80290000 
-49.07614859	179.55260000 
-49.06814859	179.80290000 
-49.06014859	179.62580000 
-49.05214859	179.62580000 
-49.04414860	179.65030000 
-49.03614860	179.62580000 
-49.02814860	179.90050000 
-49.02014860	179.55260000 
-49.01214860	179.28400000 
-49.00414860	180.02260000 
-48.99614860	179.82730000 
-48.98814860	180.15080000 
-48.98014860	179.50380000 
-48.97214860	180.09580000 
-48.96414860	180.29720000 
-48.95614860	179.92490000 
-48.94814860	179.70520000 
-48.94014860	179.85170000 
-48.93214860	180.07140000 
-48.92414860	180.34610000 
-48.91614860	179.68080000 
-48.90814860	179.70520000 
-48.90014860	179.65030000 
-48.89214860	179.92490000 
-48.88414860	179.87610000 
-48.87614860	179.65030000 
-48.86814860	179.92490000 
-48.86014860	179.38170000 
-48.85214860	179.62580000 
-48.84414860	180.29720000 
-48.83614860	179.70520000 
-48.82814860	179.62580000 
-48.82014860	180.04700000 
-48.81214860	179.00940000 
-48.80414860	180.57190000 
-48.79614860	179.57700000 
-48.78814860	179.92490000 
-48.78014860	179.94930000 
-48.77214860	179.40610000 
-48.76414860	179.43050000 
-48.75614860	179.65030000 
-48.74814860	179.70520000 
-48.74014860	179.45490000 
-48.73214860	180.12630000 
-48.72414860	180.22400000 
-48.71614860	180.15080000 
-48.70814860	179.47940000 
-48.70014860	180.04700000 
-48.69214861	179.82730000 
-48.68414861	179.70520000 
-48.67614861	179.52820000 
-48.66814861	179.85170000 
-48.66014861	179.20470000 
-48.65214861	179.72960000 
-48.64414861	180.02260000 
-48.63614861	179.47940000 
-48.62814861	180.09580000 
-48.62014861	179.55260000 
-48.61214861	180.15080000 
-48.60414861	180.12630000 
-48.59614861	179.62580000 
-48.58814861	180.51700000 
-48.58014861	179.45490000 
-48.57214861	180.09580000 
-48.56414861	179.72960000 
-48.55614861	179.35730000 
-48.54814861	179.70520000 
-48.54014861	180.02260000 
-48.53214861	180.37050000 
-48.52414861	180.34610000 
-48.51614861	179.08260000 
-48.50814861	179.94930000 
-48.50014861	179.72960000 
-48.49214861	179.82730000 
-48.48414861	180.15080000 
-48.47614861	179.65030000 
-48.46814861	179.80290000 
-48.46014861	180.74280000 
-48.45214861	180.17520000 
-48.44414861	180.22400000 
-48.43614861	178.86290000 
-48.42814861	179.40610000 
-48.42014861	179.35730000 
-48.41214861	179.82730000 
-48.40414861	180.07140000 
-48.39614861	179.28400000 
-48.38814861	179.77840000 
-48.38014861	179.99820000 
-48.37214861	179.65030000 
-48.36414861	179.57700000 
-48.35614861	179.68080000 
-48.34814861	179.05820000 
-48.34014861	179.97380000 
-48.33214862	180.09580000 
-48.32414862	179.65030000 
-48.31614862	179.20470000 
-48.30814862	179.80290000 
-48.30014862	180.04700000 
-48.29214862	179.22910000 
-48.28414862	179.57700000 
-48.27614862	179.80290000 
-48.26814862	179.80290000 
-48.26014862	179.72960000 
-48.25214862	179.40610000 
-48.24414862	179.85170000 
-48.23614862	179.75400000 
-48.22814862	179.13140000 
-48.22014862	180.29720000 
-48.21214862	179.90050000 
-48.20414862	179.50380000 
-48.19614862	179.25960000 
-48.18814862	180.02260000 
-48.18014862	179.47940000 
-48.17214862	179.25960000 
-48.16414862	179.47940000 
-48.15614862	179.99820000 
-48.14814862	179.90050000 
-48.14014862	179.75400000 
-48.13214862	180.27280000 
-48.12414862	179.52820000 
-48.11614862	179.94930000 
-48.10814862	180.04700000 
-48.10014862	180.12630000 
-48.09214862	179.75400000 
-48.08414862	179.72960000 
-48.07614862	179.38170000 
-48.06814862	179.85170000 
-48.06014862	180.12630000 
-48.05214862	180.17520000 
-48.04414862	179.62580000 
-48.03614862	179.82730000 
-48.02814862	180.15080000 
-48.02014862	179.85170000 
-48.01214862	179.40610000 
-48.00414862	179.20470000 
-47.99614862	179.22910000 
-47.98814862	179.77840000 
-47.98014863	179.94930000 
-47.97214863	180.07140000 
-47.96414863	179.47940000 
-47.95614863	179.80290000 
-47.94814863	179.65030000 
-47.94014863	179.70520000 
-47.93214863	179.80290000 
-47.92414863	179.87610000 
-47.91614863	179.47940000 
-47.90814863	180.17520000 
-47.90014863	180.49260000 
-47.89214863	180.15080000 
-47.88414863	179.15590000 
-47.87614863	179.70520000 
-47.86814863	180.22400000 
-47.86014863	179.43050000 
-47.85214863	179.47940000 
-47.84414863	179.55260000 
-47.83614863	179.80290000 
-47.82814863	180.27280000 
-47.82014863	180.12630000 
-47.81214863	180.44370000 
-47.80414863	179.72960000 
-47.79614863	179.62580000 
-47.78814863	179.62580000 
-47.78014863	179.43050000 
-47.77214863	180.07140000 
-47.76414863	180.02260000 
-47.75614863	179.87610000 
-47.74814863	179.80290000 
-47.74014863	179.33290000 
-47.73214863	179.57700000 
-47.72414863	179.45490000 
-47.71614863	180.39490000 
-47.70814863	179.77840000 
-47.70014863	180.04700000 
-47.69214863	179.68080000 
-47.68414863	180.22400000 
-47.67614863	179.94930000 
-47.66814863	180.07140000 
-47.66014863	179.80290000 
-47.65214863	179.45490000 
-47.64414863	178.98490000 
-47.63614863	179.92490000 
-47.62814864	180.46810000 
-47.62014864	179.90050000 
-47.61214864	179.65030000 
-47.60414864	179.80290000 
-47.59614864	180.51700000 
-47.58814864	179.43050000 
-47.58014864	178.88730000 
-47.57214864	179.94930000 
-47.56414864	179.60140000 
-47.55614864	179.33290000 
-47.54814864	179.60140000 
-47.54014864	180.17520000 
-47.53214864	180.12630000 
-47.52414864	179.47940000 
-47.51614864	179.52820000 
-47.50814864	180.59630000 
-47.50014864	179.72960000 
-47.49214864	179.45490000 
-47.48414864	179.45490000 
-47.47614864	179.77840000 
-47.46814864	179.94930000 
-47.46014864	179.85170000 
-47.45214864	179.72960000 
-47.44414864	179.77840000 
-47.43614864	179.57700000 
-47.42814864	180.12630000 
-47.42014864	180.07140000 
-47.41214864	179.72960000 
-47.40414864	179.85170000 
-47.39614864	179.75400000 
-47.38814864	180.07140000 
-47.38014864	179.92490000 
-47.37214864	178.71030000 
-47.36414864	179.75400000 
-47.35614864	180.12630000 
-47.34814864	179.97380000 
-47.34014864	180.22400000 
-47.33214864	179.52820000 
-47.32414864	179.68080000 
-47.31614864	179.40610000 
-47.30814864	179.68080000 
-47.30014864	179.40610000 
-47.29214864	180.19960000 
-47.28414864	179.82730000 
-47.27614865	179.57700000 
-47.26814865	179.65030000 
-47.26014865	179.65030000 
-47.25214865	179.50380000 
-47.24414865	179.00940000 
-47.23614865	180.04700000 
-47.22814865	179.47940000 
-47.22014865	179.75400000 
-47.21214865	179.68080000 
-47.20414865	179.60140000 
-47.19614865	179.60140000 
-47.18814865	179.00940000 
-47.18014865	180.84050000 
-47.17214865	179.90050000 
-47.16414865	179.38170000 
-47.15614865	180.32170000 
-47.14814865	179.70520000 
-47.14014865	180.04700000 
-47.13214865	179.90050000 
-47.12414865	179.50380000 
-47.11614865	179.35730000 
-47.10814865	180.44370000 
-47.10014865	179.45490000 
-47.09214865	180.74280000 
-47.08414865	180.29720000 
-47.07614865	180.27280000 
-47.06814865	179.43050000 
-47.06014865	180.69400000 
-47.05214865	180.37050000 
-47.04414865	180.22400000 
-47.03614865	179.65030000 
-47.02814865	179.05820000 
-47.02014865	179.97380000 
-47.01214865	179.18030000 
-47.00414865	180.09580000 
-46.99614865	180.02260000 
-46.98814865	179.68080000 
-46.98014865	179.72960000 
-46.97214865	180.27280000 
-46.96414865	180.29720000 
-46.95614865	179.99820000 
-46.94814865	179.94930000 
-46.94014865	179.72960000 
-46.93214865	179.22910000 
-46.92414866	179.90050000 
-46.91614866	179.92490000 
-46.90814866	179.75400000 
-46.90014866	179.33290000 
-46.89214866	179.99820000 
-46.88414866	179.75400000 
-46.87614866	180.12630000 
-46.86814866	179.82730000 
-46.86014866	179.60140000 
-46.85214866	180.51700000 
-46.84414866	179.13140000 
-46.83614866	180.49260000 
-46.82814866	179.62580000 
-46.82014866	179.72960000 
-46.81214866	179.28400000 
-46.80414866	180.29720000 
-46.79614866	180.69400000 
-46.78814866	179.57700000 
-46.78014866	180.27280000 
-46.77214866	179.85170000 
-46.76414866	179.87610000 
-46.75614866	180.34610000 
-46.74814866	179.57700000 
-46.74014866	179.10700000 
-46.73214866	179.70520000 
-46.72414866	179.40610000 
-46.71614866	180.22400000 
-46.70814866	179.62580000 
-46.70014866	178.91170000 
-46.69214866	179.77840000 
-46.68414866	179.80290000 
-46.67614866	179.87610000 
-46.66814866	180.44370000 
-46.66014866	179.20470000 
-46.65214866	179.62580000 
-46.64414866	179.57700000 
-46.63614866	179.40610000 
-46.62814866	179.57700000 
-46.62014866	180.39490000 
-46.61214866	180.46810000 
-46.60414866	178.68590000 
-46.59614866	179.40610000 
-46.58814866	179.87610000 
-46.58014866	180.19960000 
-46.57214866	179.45490000 
-46.56414867	179.80290000 
-46.55614867	178.33800000 
-46.54814867	180.24840000 
-46.54014867	179.50380000 
-46.53214867	180.39490000 
-46.52414867	179.82730000 
-46.51614867	179.10700000 
-46.50814867	180.59630000 
-46.50014867	179.22910000 
-46.49214867	179.65030000 
-46.48414867	179.97380000 
-46.47614867	179.35730000 
-46.46814867	178.96050000 
-46.46014867	179.97380000 
-46.45214867	179.75400000 
-46.44414867	180.04700000 
-46.43614867	179.80290000 
-46.42814867	179.52820000 
-46.42014867	179.80290000 
-46.41214867	179.72960000 
-46.40414867	180.02260000 
-46.39614867	179.50380000 
-46.38814867	179.35730000 
-46.38014867	180.29720000 
-46.37214867	180.19960000 
-46.36414867	179.38170000 
-46.35614867	180.04700000 
-46.34814867	179.65030000 
-46.34014867	179.80290000 
-46.33214867	180.02260000 
-46.32414867	179.94930000 
-46.31614867	179.60140000 
-46.30814867	179.50380000 
-46.30014867	179.35730000 
-46.29214867	180.99310000 
-46.28414867	179.90050000 
-46.27614867	180.09580000 
-46.26814867	178.96050000 
