Tempo	Canale A 
(us)	(mV) 
 
-50.01189339	-0.10528890 
-50.00389339	0.15442370 
-49.99589339	0.17914360 
-49.98789339	-0.10528890 
-49.97989339	-0.06195257 
-49.97189339	-0.03723258 
-49.96389339	0.40803240 
-49.95589339	0.11719110 
-49.94789339	-0.01861629 
-49.93989339	0.12360000 
-49.93189339	0.38331250 
-49.92389339	-0.11139260 
-49.91589339	0.37690360 
-49.90789339	0.30884730 
-49.89989339	0.25940730 
-49.89189339	-0.12390510 
-49.88389339	0.04303110 
-49.87589339	0.16663100 
-49.86789339	-0.27222510 
-49.85989339	0.14831990 
-49.85189339	0.00610370 
-49.84389339	0.18524730 
-49.83589339	0.25330360 
-49.82789339	0.00610370 
-49.81989339	0.09247108 
-49.81189339	0.31525620 
-49.80389339	0.09247108 
-49.79589339	0.08636738 
-49.78789339	0.09887997 
-49.77989339	0.10498370 
-49.77189339	0.24719990 
-49.76389339	-0.27832880 
-49.75589339	-0.16083250 
-49.74789339	0.34607990 
-49.73989339	0.04943999 
-49.73189339	0.09887997 
-49.72389339	0.00610370 
-49.71589340	0.01831111 
-49.70789340	0.37079990 
-49.69989340	-0.42054500 
-49.69189340	0.08636738 
-49.68389340	0.55024870 
-49.67589340	0.21637620 
-49.66789340	-0.44526500 
-49.65989340	-0.40833760 
-49.65189340	0.19165620 
-49.64389340	1.12521700 
-49.63589340	0.10498370 
-49.62789340	-0.01251259 
-49.61989340	0.08636738 
-49.61189340	0.13580740 
-49.60389340	-0.43305760 
-49.59589340	-0.07446516 
-49.58789340	0.73549600 
-49.57989340	-0.09277626 
-49.57189340	0.30884730 
-49.56389340	0.79744860 
-49.55589340	-0.34028140 
-49.54789340	0.51911980 
-49.53989340	0.57496860 
-49.53189340	-0.66164120 
-49.52389340	0.02471999 
-49.51589340	-0.11139260 
-49.50789340	-0.36500140 
-49.49989340	0.27191990 
-49.49189340	-0.12390510 
-49.48389340	0.06164739 
-49.47589340	0.24109620 
-49.46789340	0.36469620 
-49.45989340	0.29663990 
-49.45189340	-0.34028140 
-49.44389340	0.03692739 
-49.43589340	0.27191990 
-49.42789340	-0.03723258 
-49.41989340	-0.25360880 
-49.41189340	-0.07446516 
-49.40389340	0.20996730 
-49.39589340	0.09247108 
-49.38789340	-0.17334510 
-49.37989340	0.11719110 
-49.37189340	-0.03112888 
-49.36389341	0.30274360 
-49.35589341	-0.17334510 
-49.34789341	-0.23499250 
-49.33989341	0.16052730 
-49.33189341	-0.20416880 
-49.32389341	0.01831111 
-49.31589341	0.02471999 
-49.30789341	0.20996730 
-49.29989341	0.17914360 
-49.29189341	0.30274360 
-49.28389341	-0.30915250 
-49.27589341	0.29053620 
-49.26789341	0.09247108 
-49.25989341	-0.04333628 
-49.25189341	-0.20416880 
-49.24389341	-0.22888880 
-49.23589341	0.07415997 
-49.22789341	0.42634360 
-49.21989341	0.20996730 
-49.21189341	-0.03112888 
-49.20389341	-0.51942500 
-49.19589341	-0.50721760 
-49.18789341	-0.41444130 
-49.17989341	0.00000000 
-49.17189341	0.59968870 
-49.16389341	-0.13000880 
-49.15589341	-0.24750510 
-49.14789341	0.56245610 
-49.13989341	0.11719110 
-49.13189341	0.51301610 
-49.12389341	0.04303110 
-49.11589341	0.14831990 
-49.10789341	0.33356730 
-49.09989341	-0.61220130 
-49.09189341	0.51911980 
-49.08389341	0.66743980 
-49.07589341	0.15442370 
-49.06789341	-0.81637010 
-49.05989341	-0.27832880 
-49.05189341	0.40803240 
-49.04389341	0.13580740 
-49.03589341	-0.43305760 
-49.02789341	-0.17944880 
-49.01989341	1.03854500 
-49.01189341	-0.11139260 
-49.00389342	-0.03723258 
-48.99589342	0.30274360 
-48.98789342	0.30274360 
-48.97989342	-0.17334510 
-48.97189342	-0.29084140 
-48.96389342	0.29053620 
-48.95589342	0.71718490 
-48.94789342	-0.35248880 
-48.93989342	-0.08667256 
-48.93189342	0.11108740 
-48.92389342	0.52522360 
-48.91589342	0.19775990 
-48.90789342	-0.43916130 
-48.89989342	0.04943999 
-48.89189342	0.53773610 
-48.88389342	0.01220740 
-48.87589342	0.25940730 
-48.86789342	0.24109620 
-48.85989342	0.03082369 
-48.85189342	-0.16693620 
-48.84389342	-0.03112888 
-48.83589342	0.02471999 
-48.82789342	-0.56276130 
-48.81989342	-0.02502518 
-48.81189342	0.53163240 
-48.80389342	0.31525620 
-48.79589342	-0.16693620 
-48.78789342	0.40803240 
-48.77989342	0.03082369 
-48.77189342	0.23468730 
-48.76389342	-0.06805627 
-48.75589342	0.04943999 
-48.74789342	0.15442370 
-48.73989342	-0.29694510 
-48.73189342	0.12360000 
-48.72389342	0.32746360 
-48.71589342	0.17914360 
-48.70789342	-0.11749630 
-48.69989342	-0.06805627 
-48.69189342	0.33356730 
-48.68389342	0.27191990 
-48.67589342	-0.12390510 
-48.66789342	0.17914360 
-48.65989342	-0.14221630 
-48.65189343	0.23468730 
-48.64389343	0.09887997 
-48.63589343	-0.08056886 
-48.62789343	0.00610370 
-48.61989343	-0.06195257 
-48.61189343	0.14191110 
-48.60389343	0.42634360 
-48.59589343	-0.05584887 
-48.58789343	-0.13000880 
-48.57989343	0.11719110 
-48.57189343	0.28412730 
-48.56389343	0.11719110 
-48.55589343	-0.21668140 
-48.54789343	0.39551990 
-48.53989343	0.37690360 
-48.53189343	0.30884730 
-48.52389343	-0.09918515 
-48.51589343	0.29053620 
-48.50789343	0.06775109 
-48.49989343	-0.08056886 
-48.49189343	-0.01251259 
-48.48389343	0.39551990 
-48.47589343	-0.07446516 
-48.46789343	-0.40192870 
-48.45989343	0.16052730 
-48.45189343	0.45747240 
-48.44389343	-0.04333628 
-48.43589343	-0.27832880 
-48.42789343	0.16663100 
-48.41989343	0.42634360 
-48.41189343	0.10498370 
-48.40389343	-0.15472880 
-48.39589343	0.19165620 
-48.38789343	0.14191110 
-48.37989343	0.09887997 
-48.37189343	0.24109620 
-48.36389343	-0.25360880 
-48.35589343	-0.17944880 
-48.34789343	-0.07446516 
-48.33989343	0.18524730 
-48.33189343	0.37690360 
-48.32389343	-0.10528890 
-48.31589343	-0.09918515 
-48.30789343	0.34607990 
-48.29989344	0.34607990 
-48.29189344	0.28412730 
-48.28389344	-0.27222510 
-48.27589344	-0.18555250 
-48.26789344	-0.24750510 
-48.25989344	0.40803240 
-48.25189344	0.20386360 
-48.24389344	0.29053620 
-48.23589344	0.14831990 
-48.22789344	-0.06195257 
-48.21989344	0.07415997 
-48.21189344	0.24719990 
-48.20389344	0.14191110 
-48.19589344	-0.39582510 
-48.18789344	0.03692739 
-48.17989344	0.06775109 
-48.17189344	0.26581620 
-48.16389344	0.27802360 
-48.15589344	-0.16083250 
-48.14789344	0.46357610 
-48.13989344	0.04943999 
-48.13189344	0.01220740 
-48.12389344	0.06164739 
-48.11589344	-0.14862510 
-48.10789344	0.12360000 
-48.09989344	0.02471999 
-48.09189344	-0.16083250 
-48.08389344	0.13580740 
-48.07589344	-0.03723258 
-48.06789344	0.18524730 
-48.05989344	0.22858360 
-48.05189344	-0.24140140 
-48.04389344	0.09247108 
-48.03589344	0.36469620 
-48.02789344	-0.03112888 
-48.01989344	0.79134490 
-48.01189344	-0.16693620 
-48.00389344	-0.01251259 
-47.99589344	-0.45136870 
-47.98789344	-0.13000880 
-47.97989344	0.12970370 
-47.97189344	0.05554369 
-47.96389344	-0.13611250 
-47.95589344	-0.14221630 
-47.94789345	0.48829610 
-47.93989345	0.28412730 
-47.93189345	0.26581620 
-47.92389345	-0.43916130 
-47.91589345	0.16663100 
-47.90789345	0.28412730 
-47.89989345	0.11719110 
-47.89189345	-0.00640889 
-47.88389345	-0.30304880 
-47.87589345	0.14191110 
-47.86789345	0.20386360 
-47.85989345	0.12970370 
-47.85189345	0.19775990 
-47.84389345	-0.40833760 
-47.83589345	0.00610370 
-47.82789345	-0.13000880 
-47.81989345	0.13580740 
-47.81189345	0.04303110 
-47.80389345	-0.11749630 
-47.79589345	0.05554369 
-47.78789345	0.02471999 
-47.77989345	-0.03723258 
-47.77189345	0.25330360 
-47.76389345	0.40162350 
-47.75589345	-0.07446516 
-47.74789345	0.51911980 
-47.73989345	0.19165620 
-47.73189345	0.28412730 
-47.72389345	-0.29694510 
-47.71589345	0.12360000 
-47.70789345	0.24109620 
-47.69989345	0.19775990 
-47.69189345	0.08026367 
-47.68389345	0.14191110 
-47.67589345	0.12970370 
-47.66789345	0.25940730 
-47.65989345	-0.06805627 
-47.65189345	-0.04333628 
-47.64389345	0.18524730 
-47.63589345	0.02471999 
-47.62789345	-0.12390510 
-47.61989345	-0.04974516 
-47.61189345	0.16663100 
-47.60389345	0.25940730 
-47.59589346	-0.09918515 
-47.58789346	-0.24140140 
-47.57989346	0.14831990 
-47.57189346	-0.17334510 
-47.56389346	0.11719110 
-47.55589346	-0.03112888 
-47.54789346	0.19165620 
-47.53989346	-0.11749630 
-47.53189346	-0.20416880 
-47.52389346	0.24719990 
-47.51589346	0.29663990 
-47.50789346	-0.19196140 
-47.49989346	0.01831111 
-47.49189346	0.27191990 
-47.48389346	0.19775990 
-47.47589346	0.95187230 
-47.46789346	-0.11139260 
-47.45989346	0.33356730 
-47.45189346	-0.28443250 
-47.44389346	-0.19196140 
-47.43589346	0.30274360 
-47.42789346	-0.19806510 
-47.41989346	0.10498370 
-47.41189346	0.14831990 
-47.40389346	0.31525620 
-47.39589346	0.43885610 
-47.38789346	0.03692739 
-47.37989346	0.18524730 
-47.37189346	0.17914360 
-47.36389346	-0.18555250 
-47.35589346	0.28412730 
-47.34789346	0.36469620 
-47.33989346	-0.08667256 
-47.33189346	0.12360000 
-47.32389346	0.06164739 
-47.31589346	0.29053620 
-47.30789346	0.25940730 
-47.29989346	-0.12390510 
-47.29189346	0.09247108 
-47.28389346	-0.08056886 
-47.27589346	-0.33387250 
-47.26789346	0.17303990 
-47.25989346	0.06775109 
-47.25189346	0.12970370 
-47.24389346	-0.02502518 
-47.23589347	-0.08667256 
-47.22789347	0.24109620 
-47.21989347	0.08636738 
-47.21189347	-0.33387250 
-47.20389347	0.02471999 
-47.19589347	0.46967980 
-47.18789347	0.64912870 
-47.17989347	-0.59358500 
-47.17189347	0.02471999 
-47.16389347	0.33997620 
-47.15589347	-0.06805627 
-47.14789347	-0.03723258 
-47.13989347	-0.27222510 
-47.13189347	0.19165620 
-47.12389347	0.47578350 
-47.11589347	-0.43305760 
-47.10789347	0.20386360 
-47.09989347	-0.05584887 
-47.09189347	-0.14221630 
-47.08389347	0.14831990 
-47.07589347	-0.23499250 
-47.06789347	0.58717610 
-47.05989347	-0.00640889 
-47.05189347	-0.55055390 
-47.04389347	0.09247108 
-47.03589347	0.17914360 
-47.02789347	-0.14862510 
-47.01989347	0.30274360 
-47.01189347	-0.11139260 
-47.00389347	0.24109620 
-46.99589347	-0.21668140 
-46.98789347	0.03692739 
-46.97989347	0.35218360 
-46.97189347	-0.20416880 
-46.96389347	-0.24750510 
-46.95589347	-0.07446516 
-46.94789347	-0.22888880 
-46.93989347	0.03692739 
-46.93189347	0.95187230 
-46.92389347	0.05554369 
-46.91589347	0.55024870 
-46.90789347	-1.37882600 
-46.89989347	0.16052730 
-46.89189347	-0.16083250 
-46.88389348	0.33356730 
-46.87589348	0.45106350 
-46.86789348	-0.76052120 
-46.85989348	0.57496860 
-46.85189348	0.89022490 
-46.84389348	-0.48249760 
-46.83589348	0.03082369 
-46.82789348	-0.18555250 
-46.81989348	0.03692739 
-46.81189348	0.55635240 
-46.80389348	0.24719990 
-46.79589348	0.46967980 
-46.78789348	0.11108740 
-46.77989348	-0.38972130 
-46.77189348	0.20386360 
-46.76389348	0.16663100 
-46.75589348	0.00610370 
-46.74789348	0.23468730 
-46.73989348	-0.45777760 
-46.73189348	0.33997620 
-46.72389348	0.02471999 
-46.71589348	0.00000000 
-46.70789348	0.24109620 
-46.69989348	-0.30304880 
-46.69189348	-0.25360880 
-46.68389348	0.05554369 
-46.67589348	0.01831111 
-46.66789348	0.11719110 
-46.65989348	-0.33387250 
-46.65189348	0.42634360 
-46.64389348	0.43275250 
-46.63589348	0.25330360 
-46.62789348	-0.05584887 
-46.61989348	-0.06195257 
-46.61189348	-0.07446516 
-46.60389348	0.00000000 
-46.59589348	0.17914360 
-46.58789348	-0.25971250 
-46.57989348	0.29053620 
-46.57189348	-0.34028140 
-46.56389348	0.08636738 
-46.55589348	0.42634360 
-46.54789348	0.19775990 
-46.53989348	-0.01861629 
-46.53189349	0.00000000 
-46.52389349	0.02471999 
-46.51589349	0.24719990 
-46.50789349	0.11108740 
-46.49989349	0.21637620 
-46.49189349	-0.21027250 
-46.48389349	0.25940730 
-46.47589349	0.32746360 
-46.46789349	-0.04333628 
-46.45989349	-0.08667256 
-46.45189349	0.24719990 
-46.44389349	0.09247108 
-46.43589349	-0.13000880 
-46.42789349	0.06164739 
-46.41989349	0.07415997 
-46.41189349	-0.18555250 
-46.40389349	0.06775109 
-46.39589349	0.24109620 
-46.38789349	0.03082369 
-46.37989349	-0.61830500 
-46.37189349	0.31525620 
-46.36389349	0.12360000 
