Tempo	Canale A 
(us)	(V) 
 
-100.03031689	0.39832760 
-100.01431689	0.40006720 
-99.99831689	0.39695420 
-99.98231689	0.39683220 
-99.96631689	0.40018920 
-99.95031689	0.39957880 
-99.93431689	0.40205090 
-99.91831689	0.39881590 
-99.90231689	0.40006720 
-99.88631689	0.40018920 
-99.87031689	0.39957880 
-99.85431689	0.40366830 
-99.83831689	0.40241710 
-99.82231689	0.39945680 
-99.80631689	0.39909060 
-99.79031690	0.40217290 
-99.77431690	0.39982300 
-99.75831690	0.40107430 
-99.74231690	0.39646600 
-99.72631690	0.39658800 
-99.71031690	0.39573350 
-99.69431690	0.39646600 
-99.67831690	0.40006720 
-99.66231690	0.39646600 
-99.64631690	0.39832760 
-99.63031690	0.39771720 
-99.61431690	0.39512320 
-99.59831690	0.39844970 
-99.58231690	0.39893790 
-99.56631690	0.39747310 
-99.55031690	0.40006720 
-99.53431690	0.39982300 
-99.51831690	0.39695420 
-99.50231690	0.39759510 
-99.48631690	0.39957880 
-99.47031690	0.39945680 
-99.45431690	0.39671010 
-99.43831691	0.39771720 
-99.42231691	0.39548940 
-99.40631691	0.39881590 
-99.39031691	0.39869380 
-99.37431691	0.40006720 
-99.35831691	0.40067750 
-99.34231691	0.39909060 
-99.32631691	0.39832760 
-99.31031691	0.39671010 
-99.29431691	0.39970090 
-99.27831691	0.39622180 
-99.26231691	0.39722890 
-99.24631691	0.40107430 
-99.23031691	0.39945680 
-99.21431691	0.39970090 
-99.19831691	0.39909060 
-99.18231691	0.39970090 
-99.16631691	0.39970090 
-99.15031691	0.40006720 
-99.13431691	0.39735100 
-99.11831691	0.39933470 
-99.10231691	0.39893790 
-99.08631692	0.39671010 
-99.07031692	0.39945680 
-99.05431692	0.39909060 
-99.03831692	0.39945680 
-99.02231692	0.39994510 
-99.00631692	0.39893790 
-98.99031692	0.39747310 
-98.97431692	0.39710690 
-98.95831692	0.39957880 
-98.94231692	0.40156250 
-98.92631692	0.39747310 
-98.91031692	0.39970090 
-98.89431692	0.39921260 
-98.87831692	0.40095220 
-98.86231692	0.39695420 
-98.84631692	0.39844970 
-98.83031692	0.39909060 
-98.81431692	0.40095220 
-98.79831692	0.39832760 
-98.78231692	0.39796140 
-98.76631692	0.39982300 
-98.75031692	0.39945680 
-98.73431693	0.39735100 
-98.71831693	0.39945680 
-98.70231693	0.39982300 
-98.68631693	0.40031130 
-98.67031693	0.39909060 
-98.65431693	0.39832760 
-98.63831693	0.39832760 
