Tempo	Canale A 
(us)	(mV) 
 
-50.01598414	179.80290000 
-50.00798414	179.65030000 
-49.99998414	179.47940000 
-49.99198414	179.15590000 
-49.98398414	179.13140000 
-49.97598414	179.33290000 
-49.96798414	180.41930000 
-49.95998414	179.20470000 
-49.95198414	179.80290000 
-49.94398414	179.18030000 
-49.93598414	179.47940000 
-49.92798414	179.43050000 
-49.91998414	179.62580000 
-49.91198414	179.72960000 
-49.90398414	179.47940000 
-49.89598414	179.15590000 
-49.88798414	179.50380000 
-49.87998414	179.52820000 
-49.87198414	179.87610000 
-49.86398414	179.65030000 
-49.85598414	179.80290000 
-49.84798414	180.32170000 
-49.83998414	179.22910000 
-49.83198414	179.70520000 
-49.82398415	179.90050000 
-49.81598415	179.97380000 
-49.80798415	180.22400000 
-49.79998415	179.60140000 
-49.79198415	179.35730000 
-49.78398415	179.87610000 
-49.77598415	179.55260000 
-49.76798415	178.98490000 
-49.75998415	179.80290000 
-49.75198415	179.45490000 
-49.74398415	180.27280000 
-49.73598415	180.49260000 
-49.72798415	179.65030000 
-49.71998415	178.80800000 
-49.71198415	179.15590000 
-49.70398415	179.65030000 
-49.69598415	179.68080000 
-49.68798415	179.38170000 
-49.67998415	179.47940000 
-49.67198415	180.32170000 
-49.66398415	178.73470000 
-49.65598415	180.71840000 
-49.64798415	179.75400000 
-49.63998415	179.92490000 
-49.63198415	180.22400000 
-49.62398415	178.24030000 
-49.61598415	180.07140000 
-49.60798415	179.60140000 
-49.59998415	179.08260000 
-49.59198415	179.80290000 
-49.58398415	180.44370000 
-49.57598415	180.19960000 
-49.56798415	179.82730000 
-49.55998415	179.90050000 
-49.55198415	180.17520000 
-49.54398415	179.03380000 
-49.53598415	179.97380000 
-49.52798415	180.09580000 
-49.51998415	179.52820000 
-49.51198415	179.68080000 
-49.50398415	180.34610000 
-49.49598415	179.72960000 
-49.48798415	179.45490000 
-49.47998415	179.55260000 
-49.47198416	179.77840000 
-49.46398416	180.41930000 
-49.45598416	180.02260000 
-49.44798416	179.30840000 
-49.43998416	179.52820000 
-49.43198416	179.70520000 
-49.42398416	179.92490000 
-49.41598416	179.30840000 
-49.40798416	179.22910000 
-49.39998416	179.92490000 
-49.39198416	179.52820000 
-49.38398416	179.62580000 
-49.37598416	179.08260000 
-49.36798416	179.70520000 
-49.35998416	179.94930000 
-49.35198416	179.65030000 
-49.34398416	179.45490000 
-49.33598416	179.57700000 
-49.32798416	179.75400000 
-49.31998416	179.38170000 
-49.31198416	180.02260000 
-49.30398416	180.24840000 
-49.29598416	179.45490000 
-49.28798416	180.19960000 
-49.27998416	180.12630000 
-49.27198416	180.41930000 
-49.26398416	180.02260000 
-49.25598416	179.38170000 
-49.24798416	180.24840000 
-49.23998416	179.99820000 
-49.23198416	180.34610000 
-49.22398416	179.03380000 
-49.21598416	179.62580000 
-49.20798416	180.32170000 
-49.19998416	179.72960000 
-49.19198416	179.90050000 
-49.18398416	179.40610000 
-49.17598416	179.57700000 
-49.16798416	179.85170000 
-49.15998416	180.04700000 
-49.15198416	179.47940000 
-49.14398416	179.80290000 
-49.13598416	180.07140000 
-49.12798416	179.43050000 
-49.11998417	179.92490000 
-49.11198417	179.70520000 
-49.10398417	180.12630000 
-49.09598417	179.45490000 
-49.08798417	179.65030000 
-49.07998417	180.04700000 
-49.07198417	179.80290000 
-49.06398417	179.62580000 
-49.05598417	179.10700000 
-49.04798417	179.60140000 
-49.03998417	179.94930000 
-49.03198417	179.85170000 
-49.02398417	179.00940000 
-49.01598417	179.60140000 
-49.00798417	179.87610000 
-48.99998417	179.47940000 
-48.99198417	180.17520000 
-48.98398417	179.03380000 
-48.97598417	179.68080000 
-48.96798417	179.30840000 
-48.95998417	180.22400000 
-48.95198417	179.94930000 
-48.94398417	179.57700000 
-48.93598417	180.04700000 
-48.92798417	179.68080000 
-48.91998417	179.90050000 
-48.91198417	179.52820000 
-48.90398417	179.62580000 
-48.89598417	179.65030000 
-48.88798417	180.12630000 
-48.87998417	179.10700000 
-48.87198417	179.70520000 
-48.86398417	179.72960000 
-48.85598417	178.93610000 
-48.84798417	179.99820000 
-48.83998417	179.55260000 
-48.83198417	180.02260000 
-48.82398417	179.85170000 
-48.81598417	179.72960000 
-48.80798417	179.70520000 
-48.79998417	180.19960000 
-48.79198417	179.60140000 
-48.78398417	179.47940000 
-48.77598417	179.03380000 
-48.76798417	179.94930000 
-48.75998418	179.82730000 
-48.75198418	179.57700000 
-48.74398418	179.68080000 
-48.73598418	180.17520000 
-48.72798418	179.77840000 
-48.71998418	180.04700000 
-48.71198418	179.03380000 
-48.70398418	180.51700000 
-48.69598418	179.72960000 
-48.68798418	179.57700000 
-48.67998418	180.07140000 
-48.67198418	178.56380000 
-48.66398418	179.38170000 
-48.65598418	180.29720000 
-48.64798418	179.75400000 
-48.63998418	179.62580000 
-48.63198418	179.47940000 
-48.62398418	180.12630000 
-48.61598418	179.45490000 
-48.60798418	179.20470000 
-48.59998418	179.99820000 
-48.59198418	179.77840000 
-48.58398418	179.05820000 
-48.57598418	179.38170000 
-48.56798418	179.70520000 
-48.55998418	179.94930000 
-48.55198418	179.57700000 
-48.54398418	179.60140000 
-48.53598418	179.70520000 
-48.52798418	180.19960000 
-48.51998418	179.52820000 
-48.51198418	180.62070000 
-48.50398418	179.68080000 
-48.49598418	180.19960000 
-48.48798418	179.38170000 
-48.47998418	179.33290000 
-48.47198418	180.22400000 
-48.46398418	179.94930000 
-48.45598418	179.05820000 
-48.44798418	179.62580000 
-48.43998418	178.96050000 
-48.43198418	179.75400000 
-48.42398418	179.80290000 
-48.41598418	180.57190000 
-48.40798419	179.38170000 
-48.39998419	178.98490000 
-48.39198419	180.04700000 
-48.38398419	179.87610000 
-48.37598419	179.85170000 
-48.36798419	179.43050000 
-48.35998419	179.25960000 
-48.35198419	179.70520000 
-48.34398419	179.68080000 
-48.33598419	179.33290000 
-48.32798419	179.92490000 
-48.31998419	179.62580000 
-48.31198419	179.47940000 
-48.30398419	179.38170000 
-48.29598419	179.28400000 
-48.28798419	180.07140000 
-48.27998419	179.82730000 
-48.27198419	179.52820000 
-48.26398419	180.29720000 
-48.25598419	179.28400000 
-48.24798419	179.13140000 
-48.23998419	180.04700000 
-48.23198419	179.62580000 
-48.22398419	178.83850000 
-48.21598419	179.68080000 
-48.20798419	180.19960000 
-48.19998419	179.99820000 
-48.19198419	180.02260000 
-48.18398419	179.62580000 
-48.17598419	179.85170000 
-48.16798419	179.97380000 
-48.15998419	180.12630000 
-48.15198419	179.50380000 
-48.14398419	180.32170000 
-48.13598419	180.34610000 
-48.12798419	179.08260000 
-48.11998419	179.90050000 
-48.11198419	180.12630000 
-48.10398419	179.90050000 
-48.09598419	179.57700000 
-48.08798419	179.03380000 
-48.07998419	179.97380000 
-48.07198419	179.92490000 
-48.06398419	179.20470000 
-48.05598420	179.72960000 
-48.04798420	179.77840000 
-48.03998420	180.19960000 
-48.03198420	179.87610000 
-48.02398420	179.15590000 
-48.01598420	179.60140000 
-48.00798420	179.55260000 
-47.99998420	179.92490000 
-47.99198420	179.50380000 
-47.98398420	179.85170000 
-47.97598420	180.22400000 
-47.96798420	180.04700000 
-47.95998420	179.85170000 
-47.95198420	179.43050000 
-47.94398420	179.65030000 
-47.93598420	179.65030000 
-47.92798420	179.82730000 
-47.91998420	179.92490000 
-47.91198420	180.07140000 
-47.90398420	180.34610000 
-47.89598420	179.70520000 
-47.88798420	180.29720000 
-47.87998420	179.40610000 
-47.87198420	179.35730000 
-47.86398420	179.68080000 
-47.85598420	179.85170000 
-47.84798420	179.92490000 
-47.83998420	179.55260000 
-47.83198420	179.70520000 
-47.82398420	179.77840000 
-47.81598420	180.07140000 
-47.80798420	180.19960000 
-47.79998420	179.97380000 
-47.79198420	179.55260000 
-47.78398420	179.30840000 
-47.77598420	179.80290000 
-47.76798420	179.50380000 
-47.75998420	179.85170000 
-47.75198420	179.45490000 
-47.74398420	179.40610000 
-47.73598420	180.49260000 
-47.72798420	179.60140000 
-47.71998420	179.28400000 
-47.71198420	180.39490000 
-47.70398421	179.92490000 
-47.69598421	180.22400000 
-47.68798421	179.03380000 
-47.67998421	179.30840000 
-47.67198421	179.35730000 
-47.66398421	179.70520000 
-47.65598421	179.80290000 
-47.64798421	179.68080000 
-47.63998421	179.35730000 
-47.63198421	179.82730000 
-47.62398421	179.72960000 
-47.61598421	179.57700000 
-47.60798421	179.33290000 
-47.59998421	179.99820000 
-47.59198421	180.02260000 
-47.58398421	179.70520000 
-47.57598421	180.41930000 
-47.56798421	180.17520000 
-47.55998421	179.62580000 
-47.55198421	179.45490000 
-47.54398421	179.92490000 
-47.53598421	179.94930000 
-47.52798421	179.55260000 
-47.51998421	179.22910000 
-47.51198421	179.90050000 
-47.50398421	179.43050000 
-47.49598421	179.62580000 
-47.48798421	179.52820000 
-47.47998421	179.82730000 
-47.47198421	179.28400000 
-47.46398421	179.25960000 
-47.45598421	180.19960000 
-47.44798421	180.04700000 
-47.43998421	179.72960000 
-47.43198421	179.62580000 
-47.42398421	179.94930000 
-47.41598421	180.04700000 
-47.40798421	179.75400000 
-47.39998421	178.98490000 
-47.39198421	180.02260000 
-47.38398421	179.72960000 
-47.37598421	178.88730000 
-47.36798421	179.94930000 
-47.35998421	179.45490000 
-47.35198422	180.09580000 
-47.34398422	179.82730000 
-47.33598422	179.55260000 
-47.32798422	179.77840000 
-47.31998422	180.59630000 
-47.31198422	179.90050000 
-47.30398422	179.87610000 
-47.29598422	179.70520000 
-47.28798422	179.18030000 
-47.27998422	180.41930000 
-47.27198422	179.94930000 
-47.26398422	179.90050000 
-47.25598422	179.99820000 
-47.24798422	179.52820000 
-47.23998422	179.72960000 
-47.23198422	180.02260000 
-47.22398422	179.57700000 
-47.21598422	179.52820000 
-47.20798422	179.30840000 
-47.19998422	179.20470000 
-47.19198422	180.34610000 
-47.18398422	179.94930000 
-47.17598422	179.57700000 
-47.16798422	179.13140000 
-47.15998422	179.50380000 
-47.15198422	179.97380000 
-47.14398422	179.90050000 
-47.13598422	178.80800000 
-47.12798422	179.97380000 
-47.11998422	179.99820000 
-47.11198422	179.97380000 
-47.10398422	179.30840000 
-47.09598422	179.40610000 
-47.08798422	178.96050000 
-47.07998422	179.75400000 
-47.07198422	180.09580000 
-47.06398422	179.35730000 
-47.05598422	179.40610000 
-47.04798422	179.60140000 
-47.03998422	179.82730000 
-47.03198422	180.02260000 
-47.02398422	179.68080000 
-47.01598422	178.63700000 
-47.00798422	179.40610000 
-46.99998422	180.49260000 
-46.99198423	179.70520000 
-46.98398423	179.38170000 
-46.97598423	179.28400000 
-46.96798423	179.87610000 
-46.95998423	180.24840000 
-46.95198423	180.17520000 
-46.94398423	179.03380000 
-46.93598423	179.43050000 
-46.92798423	179.62580000 
-46.91998423	180.22400000 
-46.91198423	179.70520000 
-46.90398423	179.92490000 
-46.89598423	179.57700000 
-46.88798423	180.07140000 
-46.87998423	179.25960000 
-46.87198423	179.68080000 
-46.86398423	179.45490000 
-46.85598423	179.80290000 
-46.84798423	180.51700000 
-46.83998423	179.18030000 
-46.83198423	179.75400000 
-46.82398423	180.02260000 
-46.81598423	179.10700000 
-46.80798423	179.87610000 
-46.79998423	180.37050000 
-46.79198423	179.60140000 
-46.78398423	179.30840000 
-46.77598423	179.68080000 
-46.76798423	180.64520000 
-46.75998423	179.72960000 
-46.75198423	179.57700000 
-46.74398423	179.62580000 
-46.73598423	180.24840000 
-46.72798423	179.18030000 
-46.71998423	179.43050000 
-46.71198423	179.33290000 
-46.70398423	180.02260000 
-46.69598423	180.02260000 
-46.68798423	179.03380000 
-46.67998423	179.25960000 
-46.67198423	179.75400000 
-46.66398423	180.12630000 
-46.65598423	179.50380000 
-46.64798423	179.33290000 
-46.63998424	180.09580000 
-46.63198424	179.55260000 
-46.62398424	179.47940000 
-46.61598424	179.82730000 
-46.60798424	179.77840000 
-46.59998424	179.25960000 
-46.59198424	180.07140000 
-46.58398424	180.15080000 
-46.57598424	179.60140000 
-46.56798424	179.60140000 
-46.55998424	180.02260000 
-46.55198424	179.77840000 
-46.54398424	179.38170000 
-46.53598424	179.35730000 
-46.52798424	180.17520000 
-46.51998424	179.94930000 
-46.51198424	180.07140000 
-46.50398424	179.25960000 
-46.49598424	179.68080000 
-46.48798424	179.80290000 
-46.47998424	179.65030000 
-46.47198424	178.93610000 
-46.46398424	179.25960000 
-46.45598424	179.60140000 
-46.44798424	179.75400000 
-46.43998424	179.22910000 
-46.43198424	180.24840000 
-46.42398424	179.97380000 
-46.41598424	180.39490000 
-46.40798424	179.25960000 
-46.39998424	179.77840000 
-46.39198424	179.87610000 
-46.38398424	179.97380000 
-46.37598424	179.68080000 
-46.36798424	180.34610000 
-46.35998424	180.32170000 
-46.35198424	179.60140000 
-46.34398424	180.15080000 
-46.33598424	179.05820000 
-46.32798424	179.45490000 
-46.31998424	180.12630000 
-46.31198424	179.40610000 
-46.30398424	180.19960000 
-46.29598424	179.47940000 
-46.28798425	180.19960000 
-46.27998425	180.49260000 
-46.27198425	179.52820000 
